sex,hlth_pb,geo,unit,time,isced11,value
Total,Arthrosis,Sweden,Percentage,2014,All ISCED 2011 levels,12.5
Total,Arthrosis,United Kingdom,Percentage,2014,All ISCED 2011 levels,2.2
Total,Arthrosis,Iceland,Percentage,2014,All ISCED 2011 levels,14.6
Total,Arthrosis,Norway,Percentage,2014,All ISCED 2011 levels,10.1
Total,Arthrosis,Turkey,Percentage,2014,All ISCED 2011 levels,8.0
Total,Low back disorder or other chronic back defect,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,23.2
Total,Low back disorder or other chronic back defect,Belgium,Percentage,2014,All ISCED 2011 levels,20.8
Total,Low back disorder or other chronic back defect,Bulgaria,Percentage,2014,All ISCED 2011 levels,10.1
Total,Low back disorder or other chronic back defect,Czechia,Percentage,2014,All ISCED 2011 levels,18.3
Total,Low back disorder or other chronic back defect,Denmark,Percentage,2014,All ISCED 2011 levels,13.4
Total,Low back disorder or other chronic back defect,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,38.2
Total,Low back disorder or other chronic back defect,Estonia,Percentage,2014,All ISCED 2011 levels,24.1
Total,Low back disorder or other chronic back defect,Ireland,Percentage,2014,All ISCED 2011 levels,17.8
Total,Low back disorder or other chronic back defect,Greece,Percentage,2014,All ISCED 2011 levels,17.9
Total,Low back disorder or other chronic back defect,Spain,Percentage,2014,All ISCED 2011 levels,19.2
Total,Low back disorder or other chronic back defect,France,Percentage,2014,All ISCED 2011 levels,29.6
Total,Low back disorder or other chronic back defect,Croatia,Percentage,2014,All ISCED 2011 levels,29.0
Total,Low back disorder or other chronic back defect,Italy,Percentage,2014,All ISCED 2011 levels,18.8
Total,Low back disorder or other chronic back defect,Cyprus,Percentage,2014,All ISCED 2011 levels,13.0
Total,Low back disorder or other chronic back defect,Latvia,Percentage,2014,All ISCED 2011 levels,36.1
Total,Low back disorder or other chronic back defect,Lithuania,Percentage,2014,All ISCED 2011 levels,25.1
Total,Low back disorder or other chronic back defect,Luxembourg,Percentage,2014,All ISCED 2011 levels,29.8
Total,Low back disorder or other chronic back defect,Hungary,Percentage,2014,All ISCED 2011 levels,30.4
Total,Low back disorder or other chronic back defect,Malta,Percentage,2014,All ISCED 2011 levels,13.3
Total,Low back disorder or other chronic back defect,Netherlands,Percentage,2014,All ISCED 2011 levels,10.8
Total,Low back disorder or other chronic back defect,Austria,Percentage,2014,All ISCED 2011 levels,24.4
Total,Low back disorder or other chronic back defect,Poland,Percentage,2014,All ISCED 2011 levels,25.0
Total,Low back disorder or other chronic back defect,Portugal,Percentage,2014,All ISCED 2011 levels,33.0
Total,Low back disorder or other chronic back defect,Romania,Percentage,2014,All ISCED 2011 levels,11.0
Total,Low back disorder or other chronic back defect,Slovenia,Percentage,2014,All ISCED 2011 levels,38.3
Total,Low back disorder or other chronic back defect,Slovakia,Percentage,2014,All ISCED 2011 levels,16.6
Total,Low back disorder or other chronic back defect,Finland,Percentage,2014,All ISCED 2011 levels,33.6
Total,Low back disorder or other chronic back defect,Sweden,Percentage,2014,All ISCED 2011 levels,14.8
Total,Low back disorder or other chronic back defect,United Kingdom,Percentage,2014,All ISCED 2011 levels,13.0
Total,Low back disorder or other chronic back defect,Iceland,Percentage,2014,All ISCED 2011 levels,25.4
Total,Low back disorder or other chronic back defect,Norway,Percentage,2014,All ISCED 2011 levels,14.6
Total,Low back disorder or other chronic back defect,Turkey,Percentage,2014,All ISCED 2011 levels,33.0
Total,Neck disorder or other chronic neck defect,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,16.9
Total,Neck disorder or other chronic neck defect,Belgium,Percentage,2014,All ISCED 2011 levels,11.8
Total,Neck disorder or other chronic neck defect,Bulgaria,Percentage,2014,All ISCED 2011 levels,5.3
Total,Neck disorder or other chronic neck defect,Czechia,Percentage,2014,All ISCED 2011 levels,10.5
Total,Neck disorder or other chronic neck defect,Denmark,Percentage,2014,All ISCED 2011 levels,7.3
Total,Neck disorder or other chronic neck defect,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,33.2
Total,Neck disorder or other chronic neck defect,Estonia,Percentage,2014,All ISCED 2011 levels,9.5
Total,Neck disorder or other chronic neck defect,Ireland,Percentage,2014,All ISCED 2011 levels,8.1
Total,Neck disorder or other chronic neck defect,Greece,Percentage,2014,All ISCED 2011 levels,10.3
Total,Neck disorder or other chronic neck defect,Spain,Percentage,2014,All ISCED 2011 levels,16.5
Total,Neck disorder or other chronic neck defect,France,Percentage,2014,All ISCED 2011 levels,15.8
Total,Neck disorder or other chronic neck defect,Croatia,Percentage,2014,All ISCED 2011 levels,22.7
Total,Neck disorder or other chronic neck defect,Italy,Percentage,2014,All ISCED 2011 levels,17.3
Total,Neck disorder or other chronic neck defect,Cyprus,Percentage,2014,All ISCED 2011 levels,7.4
Total,Neck disorder or other chronic neck defect,Latvia,Percentage,2014,All ISCED 2011 levels,23.2
Total,Neck disorder or other chronic neck defect,Lithuania,Percentage,2014,All ISCED 2011 levels,10.3
Total,Neck disorder or other chronic neck defect,Luxembourg,Percentage,2014,All ISCED 2011 levels,15.3
Total,Neck disorder or other chronic neck defect,Hungary,Percentage,2014,All ISCED 2011 levels,14.3
Total,Neck disorder or other chronic neck defect,Malta,Percentage,2014,All ISCED 2011 levels,6.3
Total,Neck disorder or other chronic neck defect,Netherlands,Percentage,2014,All ISCED 2011 levels,10.7
Total,Neck disorder or other chronic neck defect,Austria,Percentage,2014,All ISCED 2011 levels,18.5
Total,Neck disorder or other chronic neck defect,Poland,Percentage,2014,All ISCED 2011 levels,17.2
Total,Neck disorder or other chronic neck defect,Portugal,Percentage,2014,All ISCED 2011 levels,24.1
Total,Neck disorder or other chronic neck defect,Romania,Percentage,2014,All ISCED 2011 levels,6.2
Total,Neck disorder or other chronic neck defect,Slovenia,Percentage,2014,All ISCED 2011 levels,23.1
Total,Neck disorder or other chronic neck defect,Slovakia,Percentage,2014,All ISCED 2011 levels,13.1
Total,Neck disorder or other chronic neck defect,Finland,Percentage,2014,All ISCED 2011 levels,34.2
Total,Neck disorder or other chronic neck defect,Sweden,Percentage,2014,All ISCED 2011 levels,15.1
Total,Neck disorder or other chronic neck defect,United Kingdom,Percentage,2014,All ISCED 2011 levels,5.8
Total,Neck disorder or other chronic neck defect,Iceland,Percentage,2014,All ISCED 2011 levels,15.1
Total,Neck disorder or other chronic neck defect,Norway,Percentage,2014,All ISCED 2011 levels,9.7
Total,Neck disorder or other chronic neck defect,Turkey,Percentage,2014,All ISCED 2011 levels,21.3
Total,Asthma,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,5.9
Total,Asthma,Belgium,Percentage,2014,All ISCED 2011 levels,4.3
Total,Asthma,Bulgaria,Percentage,2014,All ISCED 2011 levels,2.7
Total,Asthma,Czechia,Percentage,2014,All ISCED 2011 levels,4.5
Total,Asthma,Denmark,Percentage,2014,All ISCED 2011 levels,6.5
Total,Asthma,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,6.1
Total,Asthma,Estonia,Percentage,2014,All ISCED 2011 levels,3.1
Total,Asthma,Ireland,Percentage,2014,All ISCED 2011 levels,9.0
Total,Asthma,Greece,Percentage,2014,All ISCED 2011 levels,4.4
Total,Asthma,Spain,Percentage,2014,All ISCED 2011 levels,4.5
Total,Asthma,France,Percentage,2014,All ISCED 2011 levels,8.8
Total,Asthma,Croatia,Percentage,2014,All ISCED 2011 levels,3.0
Total,Asthma,Italy,Percentage,2014,All ISCED 2011 levels,4.8
Total,Asthma,Cyprus,Percentage,2014,All ISCED 2011 levels,4.3
Total,Asthma,Latvia,Percentage,2014,All ISCED 2011 levels,3.5
Total,Asthma,Lithuania,Percentage,2014,All ISCED 2011 levels,2.7
Total,Asthma,Luxembourg,Percentage,2014,All ISCED 2011 levels,6.8
Total,Asthma,Hungary,Percentage,2014,All ISCED 2011 levels,4.9
Total,Asthma,Malta,Percentage,2014,All ISCED 2011 levels,5.8
Total,Asthma,Netherlands,Percentage,2014,All ISCED 2011 levels,5.5
Total,Asthma,Austria,Percentage,2014,All ISCED 2011 levels,4.4
Total,Asthma,Poland,Percentage,2014,All ISCED 2011 levels,4.1
Total,Asthma,Portugal,Percentage,2014,All ISCED 2011 levels,5.0
Total,Asthma,Romania,Percentage,2014,All ISCED 2011 levels,2.0
Total,Asthma,Slovenia,Percentage,2014,All ISCED 2011 levels,5.0
Total,Asthma,Slovakia,Percentage,2014,All ISCED 2011 levels,3.9
Total,Asthma,Finland,Percentage,2014,All ISCED 2011 levels,9.2
Total,Asthma,Sweden,Percentage,2014,All ISCED 2011 levels,7.6
Total,Asthma,United Kingdom,Percentage,2014,All ISCED 2011 levels,9.4
Total,Asthma,Iceland,Percentage,2014,All ISCED 2011 levels,8.9
Total,Asthma,Norway,Percentage,2014,All ISCED 2011 levels,6.7
Total,Asthma,Turkey,Percentage,2014,All ISCED 2011 levels,7.9
Total,Chronic lower respiratory diseases (excluding asthma),European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,4.1
Total,Chronic lower respiratory diseases (excluding asthma),Belgium,Percentage,2014,All ISCED 2011 levels,4.0
Total,Chronic lower respiratory diseases (excluding asthma),Bulgaria,Percentage,2014,All ISCED 2011 levels,4.6
Total,Chronic lower respiratory diseases (excluding asthma),Czechia,Percentage,2014,All ISCED 2011 levels,2.1
Total,Chronic lower respiratory diseases (excluding asthma),Denmark,Percentage,2014,All ISCED 2011 levels,3.4
Total,Chronic lower respiratory diseases (excluding asthma),Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,5.3
Total,Chronic lower respiratory diseases (excluding asthma),Estonia,Percentage,2014,All ISCED 2011 levels,2.2
Total,Chronic lower respiratory diseases (excluding asthma),Ireland,Percentage,2014,All ISCED 2011 levels,2.9
Total,Chronic lower respiratory diseases (excluding asthma),Greece,Percentage,2014,All ISCED 2011 levels,3.2
Total,Chronic lower respiratory diseases (excluding asthma),Spain,Percentage,2014,All ISCED 2011 levels,3.3
Total,Chronic lower respiratory diseases (excluding asthma),France,Percentage,2014,All ISCED 2011 levels,5.6
Total,Chronic lower respiratory diseases (excluding asthma),Croatia,Percentage,2014,All ISCED 2011 levels,4.2
Total,Chronic lower respiratory diseases (excluding asthma),Italy,Percentage,2014,All ISCED 2011 levels,5.1
Total,Chronic lower respiratory diseases (excluding asthma),Cyprus,Percentage,2014,All ISCED 2011 levels,2.1
Total,Chronic lower respiratory diseases (excluding asthma),Latvia,Percentage,2014,All ISCED 2011 levels,4.0
Total,Chronic lower respiratory diseases (excluding asthma),Lithuania,Percentage,2014,All ISCED 2011 levels,6.1
Total,Chronic lower respiratory diseases (excluding asthma),Luxembourg,Percentage,2014,All ISCED 2011 levels,5.5
Total,Chronic lower respiratory diseases (excluding asthma),Hungary,Percentage,2014,All ISCED 2011 levels,4.1
Total,Chronic lower respiratory diseases (excluding asthma),Malta,Percentage,2014,All ISCED 2011 levels,1.1
Total,Chronic lower respiratory diseases (excluding asthma),Netherlands,Percentage,2014,All ISCED 2011 levels,5.5
Total,Chronic lower respiratory diseases (excluding asthma),Austria,Percentage,2014,All ISCED 2011 levels,4.2
Total,Chronic lower respiratory diseases (excluding asthma),Poland,Percentage,2014,All ISCED 2011 levels,3.1
Total,Chronic lower respiratory diseases (excluding asthma),Portugal,Percentage,2014,All ISCED 2011 levels,5.8
Total,Chronic lower respiratory diseases (excluding asthma),Romania,Percentage,2014,All ISCED 2011 levels,2.0
Total,Chronic lower respiratory diseases (excluding asthma),Slovenia,Percentage,2014,All ISCED 2011 levels,4.1
Total,Chronic lower respiratory diseases (excluding asthma),Slovakia,Percentage,2014,All ISCED 2011 levels,2.7
Total,Chronic lower respiratory diseases (excluding asthma),Finland,Percentage,2014,All ISCED 2011 levels,3.0
Total,Chronic lower respiratory diseases (excluding asthma),Sweden,Percentage,2014,All ISCED 2011 levels,1.5
Total,Chronic lower respiratory diseases (excluding asthma),United Kingdom,Percentage,2014,All ISCED 2011 levels,2.6
Total,Chronic lower respiratory diseases (excluding asthma),Iceland,Percentage,2014,All ISCED 2011 levels,3.9
Total,Chronic lower respiratory diseases (excluding asthma),Norway,Percentage,2014,All ISCED 2011 levels,2.6
Total,Chronic lower respiratory diseases (excluding asthma),Turkey,Percentage,2014,All ISCED 2011 levels,7.7
Total,Heart attack or chronic consequences of heart attack,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,1.6
Total,Heart attack or chronic consequences of heart attack,Belgium,Percentage,2014,All ISCED 2011 levels,1.0
Total,Heart attack or chronic consequences of heart attack,Bulgaria,Percentage,2014,All ISCED 2011 levels,2.2
Total,Heart attack or chronic consequences of heart attack,Czechia,Percentage,2014,All ISCED 2011 levels,1.6
Total,Heart attack or chronic consequences of heart attack,Denmark,Percentage,2014,All ISCED 2011 levels,0.9
Total,Heart attack or chronic consequences of heart attack,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,1.6
Total,Heart attack or chronic consequences of heart attack,Estonia,Percentage,2014,All ISCED 2011 levels,1.4
Total,Heart attack or chronic consequences of heart attack,Ireland,Percentage,2014,All ISCED 2011 levels,1.3
Total,Heart attack or chronic consequences of heart attack,Greece,Percentage,2014,All ISCED 2011 levels,2.1
Total,Heart attack or chronic consequences of heart attack,Spain,Percentage,2014,All ISCED 2011 levels,0.7
Total,Heart attack or chronic consequences of heart attack,France,Percentage,2014,All ISCED 2011 levels,1.1
Total,Heart attack or chronic consequences of heart attack,Croatia,Percentage,2014,All ISCED 2011 levels,2.1
Total,Heart attack or chronic consequences of heart attack,Italy,Percentage,2014,All ISCED 2011 levels,2.0
Total,Heart attack or chronic consequences of heart attack,Cyprus,Percentage,2014,All ISCED 2011 levels,2.4
Total,Heart attack or chronic consequences of heart attack,Latvia,Percentage,2014,All ISCED 2011 levels,1.1
Total,Heart attack or chronic consequences of heart attack,Lithuania,Percentage,2014,All ISCED 2011 levels,2.2
Total,Heart attack or chronic consequences of heart attack,Luxembourg,Percentage,2014,All ISCED 2011 levels,1.0
Total,Heart attack or chronic consequences of heart attack,Hungary,Percentage,2014,All ISCED 2011 levels,2.4
Total,Heart attack or chronic consequences of heart attack,Malta,Percentage,2014,All ISCED 2011 levels,1.2
Total,Heart attack or chronic consequences of heart attack,Netherlands,Percentage,2014,All ISCED 2011 levels,0.4
Total,Heart attack or chronic consequences of heart attack,Austria,Percentage,2014,All ISCED 2011 levels,1.0
Total,Heart attack or chronic consequences of heart attack,Poland,Percentage,2014,All ISCED 2011 levels,3.1
Total,Heart attack or chronic consequences of heart attack,Portugal,Percentage,2014,All ISCED 2011 levels,1.7
Total,Heart attack or chronic consequences of heart attack,Romania,Percentage,2014,All ISCED 2011 levels,1.2
Total,Heart attack or chronic consequences of heart attack,Slovenia,Percentage,2014,All ISCED 2011 levels,1.3
Total,Heart attack or chronic consequences of heart attack,Slovakia,Percentage,2014,All ISCED 2011 levels,2.5
Total,Heart attack or chronic consequences of heart attack,Finland,Percentage,2014,All ISCED 2011 levels,1.7
Total,Heart attack or chronic consequences of heart attack,Sweden,Percentage,2014,All ISCED 2011 levels,1.2
Total,Heart attack or chronic consequences of heart attack,United Kingdom,Percentage,2014,All ISCED 2011 levels,1.4
Total,Heart attack or chronic consequences of heart attack,Iceland,Percentage,2014,All ISCED 2011 levels,2.2
Total,Heart attack or chronic consequences of heart attack,Norway,Percentage,2014,All ISCED 2011 levels,1.5
Total,Heart attack or chronic consequences of heart attack,Turkey,Percentage,2014,All ISCED 2011 levels,2.0
Total,Coronary heart disease or angina pectoris,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,3.4
Total,Coronary heart disease or angina pectoris,Belgium,Percentage,2014,All ISCED 2011 levels,1.5
Total,Coronary heart disease or angina pectoris,Bulgaria,Percentage,2014,All ISCED 2011 levels,9.1
Total,Coronary heart disease or angina pectoris,Czechia,Percentage,2014,All ISCED 2011 levels,4.3
Total,Coronary heart disease or angina pectoris,Denmark,Percentage,2014,All ISCED 2011 levels,1.9
Total,Coronary heart disease or angina pectoris,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,3.9
Total,Coronary heart disease or angina pectoris,Estonia,Percentage,2014,All ISCED 2011 levels,5.6
Total,Coronary heart disease or angina pectoris,Ireland,Percentage,2014,All ISCED 2011 levels,2.8
Total,Coronary heart disease or angina pectoris,Greece,Percentage,2014,All ISCED 2011 levels,3.4
Total,Coronary heart disease or angina pectoris,Spain,Percentage,2014,All ISCED 2011 levels,0.8
Total,Coronary heart disease or angina pectoris,France,Percentage,2014,All ISCED 2011 levels,2.0
Total,Coronary heart disease or angina pectoris,Croatia,Percentage,2014,All ISCED 2011 levels,5.1
Total,Coronary heart disease or angina pectoris,Italy,Percentage,2014,All ISCED 2011 levels,2.5
Total,Coronary heart disease or angina pectoris,Cyprus,Percentage,2014,All ISCED 2011 levels,1.6
Total,Coronary heart disease or angina pectoris,Latvia,Percentage,2014,All ISCED 2011 levels,6.6
Total,Coronary heart disease or angina pectoris,Lithuania,Percentage,2014,All ISCED 2011 levels,7.5
Total,Coronary heart disease or angina pectoris,Luxembourg,Percentage,2014,All ISCED 2011 levels,2.5
Total,Coronary heart disease or angina pectoris,Hungary,Percentage,2014,All ISCED 2011 levels,4.9
Total,Coronary heart disease or angina pectoris,Malta,Percentage,2014,All ISCED 2011 levels,2.6
Total,Coronary heart disease or angina pectoris,Netherlands,Percentage,2014,All ISCED 2011 levels,1.9
Total,Coronary heart disease or angina pectoris,Austria,Percentage,2014,All ISCED 2011 levels,2.2
Total,Coronary heart disease or angina pectoris,Poland,Percentage,2014,All ISCED 2011 levels,9.0
Total,Coronary heart disease or angina pectoris,Portugal,Percentage,2014,All ISCED 2011 levels,4.3
Total,Coronary heart disease or angina pectoris,Romania,Percentage,2014,All ISCED 2011 levels,3.4
Total,Coronary heart disease or angina pectoris,Slovenia,Percentage,2014,All ISCED 2011 levels,3.2
Total,Coronary heart disease or angina pectoris,Slovakia,Percentage,2014,All ISCED 2011 levels,6.0
Total,Coronary heart disease or angina pectoris,Finland,Percentage,2014,All ISCED 2011 levels,5.0
Total,Coronary heart disease or angina pectoris,Sweden,Percentage,2014,All ISCED 2011 levels,1.5
Total,Coronary heart disease or angina pectoris,United Kingdom,Percentage,2014,All ISCED 2011 levels,3.0
Total,Coronary heart disease or angina pectoris,Iceland,Percentage,2014,All ISCED 2011 levels,3.5
Total,Coronary heart disease or angina pectoris,Norway,Percentage,2014,All ISCED 2011 levels,1.7
Total,Coronary heart disease or angina pectoris,Turkey,Percentage,2014,All ISCED 2011 levels,8.5
Total,High blood pressure,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,21.0
Total,High blood pressure,Belgium,Percentage,2014,All ISCED 2011 levels,16.5
Total,High blood pressure,Bulgaria,Percentage,2014,All ISCED 2011 levels,29.6
Total,High blood pressure,Czechia,Percentage,2014,All ISCED 2011 levels,23.7
Total,High blood pressure,Denmark,Percentage,2014,All ISCED 2011 levels,17.7
Total,High blood pressure,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,28.5
Total,High blood pressure,Estonia,Percentage,2014,All ISCED 2011 levels,22.9
Total,High blood pressure,Ireland,Percentage,2014,All ISCED 2011 levels,15.5
Total,High blood pressure,Greece,Percentage,2014,All ISCED 2011 levels,20.9
Total,High blood pressure,Spain,Percentage,2014,All ISCED 2011 levels,18.7
Total,High blood pressure,France,Percentage,2014,All ISCED 2011 levels,14.4
Total,High blood pressure,Croatia,Percentage,2014,All ISCED 2011 levels,24.6
Total,High blood pressure,Italy,Percentage,2014,All ISCED 2011 levels,20.6
Total,High blood pressure,Cyprus,Percentage,2014,All ISCED 2011 levels,17.3
Total,High blood pressure,Latvia,Percentage,2014,All ISCED 2011 levels,29.4
Total,High blood pressure,Lithuania,Percentage,2014,All ISCED 2011 levels,28.1
Total,High blood pressure,Luxembourg,Percentage,2014,All ISCED 2011 levels,16.5
Total,High blood pressure,Hungary,Percentage,2014,All ISCED 2011 levels,31.9
Total,High blood pressure,Malta,Percentage,2014,All ISCED 2011 levels,21.4
Total,High blood pressure,Netherlands,Percentage,2014,All ISCED 2011 levels,16.8
Total,High blood pressure,Austria,Percentage,2014,All ISCED 2011 levels,21.1
Total,High blood pressure,Poland,Percentage,2014,All ISCED 2011 levels,23.1
Total,High blood pressure,Portugal,Percentage,2014,All ISCED 2011 levels,25.3
Total,High blood pressure,Romania,Percentage,2014,All ISCED 2011 levels,17.1
Total,High blood pressure,Slovenia,Percentage,2014,All ISCED 2011 levels,24.8
Total,High blood pressure,Slovakia,Percentage,2014,All ISCED 2011 levels,25.8
Total,High blood pressure,Finland,Percentage,2014,All ISCED 2011 levels,24.9
Total,High blood pressure,Sweden,Percentage,2014,All ISCED 2011 levels,16.2
Total,High blood pressure,United Kingdom,Percentage,2014,All ISCED 2011 levels,16.4
Total,High blood pressure,Iceland,Percentage,2014,All ISCED 2011 levels,19.4
Total,High blood pressure,Norway,Percentage,2014,All ISCED 2011 levels,12.7
Total,High blood pressure,Turkey,Percentage,2014,All ISCED 2011 levels,16.1
Total,Stroke or chronic consequences of stroke,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,1.3
Total,Stroke or chronic consequences of stroke,Belgium,Percentage,2014,All ISCED 2011 levels,1.0
Total,Stroke or chronic consequences of stroke,Bulgaria,Percentage,2014,All ISCED 2011 levels,2.7
Total,Stroke or chronic consequences of stroke,Czechia,Percentage,2014,All ISCED 2011 levels,1.3
Total,Stroke or chronic consequences of stroke,Denmark,Percentage,2014,All ISCED 2011 levels,1.1
Total,Stroke or chronic consequences of stroke,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,1.5
Total,Stroke or chronic consequences of stroke,Estonia,Percentage,2014,All ISCED 2011 levels,1.0
Total,Stroke or chronic consequences of stroke,Ireland,Percentage,2014,All ISCED 2011 levels,0.7
Total,Stroke or chronic consequences of stroke,Greece,Percentage,2014,All ISCED 2011 levels,2.1
Total,Stroke or chronic consequences of stroke,Spain,Percentage,2014,All ISCED 2011 levels,0.8
Total,Stroke or chronic consequences of stroke,France,Percentage,2014,All ISCED 2011 levels,1.0
Total,Stroke or chronic consequences of stroke,Croatia,Percentage,2014,All ISCED 2011 levels,2.4
Total,Stroke or chronic consequences of stroke,Italy,Percentage,2014,All ISCED 2011 levels,1.4
Total,Stroke or chronic consequences of stroke,Cyprus,Percentage,2014,All ISCED 2011 levels,1.3
Total,Stroke or chronic consequences of stroke,Latvia,Percentage,2014,All ISCED 2011 levels,1.2
Total,Stroke or chronic consequences of stroke,Lithuania,Percentage,2014,All ISCED 2011 levels,2.6
Total,Stroke or chronic consequences of stroke,Luxembourg,Percentage,2014,All ISCED 2011 levels,1.2
Total,Stroke or chronic consequences of stroke,Hungary,Percentage,2014,All ISCED 2011 levels,2.4
Total,Stroke or chronic consequences of stroke,Malta,Percentage,2014,All ISCED 2011 levels,0.4
Total,Stroke or chronic consequences of stroke,Netherlands,Percentage,2014,All ISCED 2011 levels,0.3
Total,Stroke or chronic consequences of stroke,Austria,Percentage,2014,All ISCED 2011 levels,0.8
Total,Stroke or chronic consequences of stroke,Poland,Percentage,2014,All ISCED 2011 levels,2.0
Total,Stroke or chronic consequences of stroke,Portugal,Percentage,2014,All ISCED 2011 levels,1.9
Total,Stroke or chronic consequences of stroke,Romania,Percentage,2014,All ISCED 2011 levels,1.3
Total,Stroke or chronic consequences of stroke,Slovenia,Percentage,2014,All ISCED 2011 levels,1.5
Total,Stroke or chronic consequences of stroke,Slovakia,Percentage,2014,All ISCED 2011 levels,1.9
Total,Stroke or chronic consequences of stroke,Finland,Percentage,2014,All ISCED 2011 levels,1.5
Total,Stroke or chronic consequences of stroke,Sweden,Percentage,2014,All ISCED 2011 levels,1.2
Total,Stroke or chronic consequences of stroke,United Kingdom,Percentage,2014,All ISCED 2011 levels,1.1
Total,Stroke or chronic consequences of stroke,Iceland,Percentage,2014,All ISCED 2011 levels,1.3
Total,Stroke or chronic consequences of stroke,Norway,Percentage,2014,All ISCED 2011 levels,1.3
Total,Stroke or chronic consequences of stroke,Turkey,Percentage,2014,All ISCED 2011 levels,0.8
Total,Cirrhosis of the liver,European Union - 28 countries,Percentage,2014,All ISCED 2011 levels,0.4
Total,Cirrhosis of the liver,Belgium,Percentage,2014,All ISCED 2011 levels,0.6
Total,Cirrhosis of the liver,Bulgaria,Percentage,2014,All ISCED 2011 levels,0.3
Total,Cirrhosis of the liver,Czechia,Percentage,2014,All ISCED 2011 levels,0.2
Total,Cirrhosis of the liver,Denmark,Percentage,2014,All ISCED 2011 levels,0.3
Total,Cirrhosis of the liver,Germany (until 1990 former territory of the FRG),Percentage,2014,All ISCED 2011 levels,0.3
Total,Cirrhosis of the liver,Estonia,Percentage,2014,All ISCED 2011 levels,0.3
Total,Cirrhosis of the liver,Ireland,Percentage,2014,All ISCED 2011 levels,0.3
Total,Cirrhosis of the liver,Greece,Percentage,2014,All ISCED 2011 levels,0.2
Total,Cirrhosis of the liver,Spain,Percentage,2014,All ISCED 2011 levels,0.7
Total,Cirrhosis of the liver,France,Percentage,2014,All ISCED 2011 levels,0.1
Total,Cirrhosis of the liver,Croatia,Percentage,2014,All ISCED 2011 levels,0.6
Total,Cirrhosis of the liver,Italy,Percentage,2014,All ISCED 2011 levels,0.3
Total,Cirrhosis of the liver,Cyprus,Percentage,2014,All ISCED 2011 levels,0.3
Total,Cirrhosis of the liver,Latvia,Percentage,2014,All ISCED 2011 levels,0.7
