"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04040348","Alzheimer's Disease Stem Cells Multiple Infusions",,"Recruiting","No Results Available","Alzheimer Disease","Biological: 100 million cells allogeneic hMSC|Biological: 200 million cells allogeneic hMSC","Number of Incidence of any Treatment-Emergent Serious Adverse Events (TE-SAEs)|Cognitive function over time as assessed by the Alzheimer's Disease Assessment Scale - Cognitive (ADAS-Cog 11)|Cognitive function over time as assessed by the Mini Mental State Examination (MMSE) of Folstein test|Depressive symptoms over time as assessed by the Geriatric Depression Scale (GDS) Short Version|Olfactory function over time as assessed by the Odor Identification test.|Participant quality of life over time assessed via Alzheimer's Disease Related Quality of Life (ADRQL-40) Questionnaire as completed by the caregiver|Participant quality of life over time as assessed via the Alzheimer's Disease Cooperative Study Activities of Daily Living (ADCS-ADL) Questionnaire as completed by the caregiver|Neuropsychiatric Inventory-Q (NPI-Q) Scores over time|Caregiver's Quality of life over time as assessed by the Caregiver Self-Assessment Questionnaire scores|Biomarker levels over time|Serum ApoE level over time|Serum PRA level over time|Serum Tau protein level over time|Cerebrospinal Fluid (CSF) Biomarker levels over time|CSF ApoE level over time|CSF PRA level over time|CSF Tau protein level over time|Change in hippocampal volume","Bernard (Barry) Baumel|University of Miami","All","50 Years to 85 Years   (Adult, Older Adult)","Phase 1","10","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","20190438","September 16, 2019","September 1, 2021","September 1, 2021","July 31, 2019",,"September 17, 2019","University of Miami, Miami, Florida, United States",,"https://ClinicalTrials.gov/show/NCT04040348"
12,"NCT02290912","Gray Matters Alzheimer's Disease Prevention Intervention",,"Completed","No Results Available","Alzheimer's Disease","Behavioral: Health education program","Picture Vocabulary|Flanker Inhibitory Control and Attention Test|List Sorting Working Memory Test|Oral Symbol Digit Test|Montreal Cognitive Assessment|Rey Auditory Verbal Learning Test|Controlled Oral Word Association Test|Blood pressure|Body mass index|Insulin|Systemic inflammation|Skin carotenoid status|Triglycerides|HDL Cholesterol|LDL Cholesterol|Total cholesterol|Depression|Motivation|Sleep Quality|Stress|Emotional Support|Friendship|Hostility|Loneliness|Physical Activity - Moderate|Physical Activity - Vigorous|Nutrition|Readiness for Change|Metacognition","Utah State University","All","40 Years to 64 Years   (Adult)","Not Applicable","146","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","5606","April 2014","December 2014","December 2014","November 14, 2014",,"December 3, 2015",,,"https://ClinicalTrials.gov/show/NCT02290912"
13,"NCT02947893","Impact of Nilotinib on Safety, Biomarkers and Clinical Outcomes in Mild to Moderate Alzheimer's Disease","AD","Active, not recruiting","No Results Available","Alzheimer's Disease","Drug: Placebo Capsule(s) Once a Day by Mouth|Drug: Nilotinib Capsule(s) Once a Day by Mouth","Safety will be measured by number of participants experiencing the occurrence of adverse events and/or abnormal laboratory values|Effects of Nilotinib treatment on measurement of Nilotinib in the CSF","Georgetown University","All","50 Years to 85 Years   (Adult, Older Adult)","Phase 2","42","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","2016-0315","January 2017","December 2019","February 2020","October 28, 2016",,"March 13, 2019","Georgetown University Medical Center, Washington, District of Columbia, United States",,"https://ClinicalTrials.gov/show/NCT02947893"
14,"NCT03340571","Blood Biomarker of Alzheimer's Disease (AD)",,"Recruiting","No Results Available","Alzheimer Disease",,"Biological marker of Alzheimer's disease","Duke University","All","50 Years and older   (Adult, Older Adult)",,"60","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","Pro00085997","March 12, 2018","July 2019","July 2019","November 13, 2017",,"June 11, 2019","Duke University, Durham, North Carolina, United States",,"https://ClinicalTrials.gov/show/NCT03340571"
15,"NCT03090854","Cholinergic Markers Alzheimer's Disease","CHOLINE","Recruiting","No Results Available","Alzheimer Disease","Diagnostic Test: ADASCog","Neuropsychological test (ADASCog)|Rate of responder AD in this cohort included according to the new AD criteria and comparison of the current rate with the previous rate published using former AD criteria|Difference of CSF Ach AND AChE activity between responder and non responder groups|Statistical evaluation of the link between CSF Ach, AChE activity, total and phosphorylated Tau, Aß40 and Aß42.","Assistance Publique - Hôpitaux de Paris","All","50 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Other|Time Perspective: Prospective","K160402|2016-AO1639-42","November 6, 2017","May 5, 2020","May 5, 2020","March 27, 2017",,"July 25, 2019","Centre Mémoire de Ressources et de Recherche Paris Nord, Paris, France",,"https://ClinicalTrials.gov/show/NCT03090854"
16,"NCT02253043","The Safety and Efficacy of Long-term Treatment of PINS Stimulator System for Patients With Alzheimer's Disease",,"Unknown status","No Results Available","Alzheimer's Disease","Device: Deep Brain Stimulation (Beijing PINS Medical Co., Ltd)","Alzheimer's Disease Assessment Scale, Cognitive Subscale (ADAS-Cog)|Clinical Dementia Rating Scale","Beijing Pins Medical Co., Ltd|Beijing Tiantan Hospital","All","40 Years to 80 Years   (Adult, Older Adult)","Not Applicable","10","Industry|Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","PINS-002","May 2014","December 2018","December 2018","October 1, 2014",,"October 14, 2016","Beijing Tiantan Hospital, Beijing, Beijing, China|301 Hospatl, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT02253043"
17,"NCT01867372","Early Markers of Alzheimer's Disease: Structural and Functional Brain Changes",,"Terminated","No Results Available","Alzheimer's Disease",,"Accelerated preclinical changes in brain structure and function in specific regions will predict which individuals develop cognitive impairment and Alzheimer s disease|Changes in brain structure are predictors of cognitive decline and impairment though neuroimaging assessments","National Institute on Aging (NIA)|Johns Hopkins University|National Institutes of Health Clinical Center (CC)","All","20 Years and older   (Adult, Older Adult)",,"213","NIH|Other","Observational","Time Perspective: Other","999903328|03-AG-N328","March 10, 2003","September 22, 2014","September 22, 2014","June 4, 2013",,"September 24, 2019","Johns Hopkins University, Baltimore, Maryland, United States|Kennedy Krieger Institute, Baltimore, Maryland, United States|National Institute of Aging, Clinical Research Unit, Baltimore, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01867372"
18,"NCT03352557","Phase 2 Study of BIIB092 in Participants With Early Alzheimer's Disease","TANGO","Active, not recruiting","No Results Available","Alzheimer's Disease","Drug: BIIB092|Drug: Placebo","Percentage of Participants With Adverse Events (AEs) and Serious Adverse Events (SAEs)|Change From Baseline Over Time at Week 78 on the Clinical Dementia Rating Scale - Sum of Boxes (CDR-SB)|Percentage of Participants With Anti-BIIB092 Antibodies in Serum Over Time up to Week 90","Biogen","All","50 Years to 80 Years   (Adult, Older Adult)","Phase 2","654","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","251AD201|2017-002901-37","May 3, 2018","July 9, 2021","June 30, 2024","November 24, 2017",,"September 20, 2019","Research Site, Birmingham, Alabama, United States|Xenoscience Inc, Phoenix, Arizona, United States|Banner Alzheimer's Institute, Phoenix, Arizona, United States|Research Site, Phoenix, Arizona, United States|Banner Sun Health Research Institute, Sun City, Arizona, United States|Research Site, Anaheim, California, United States|Research Site, Carlsbad, California, United States|Positron Research International, Fremont, California, United States|Neuropain Medical Center, Fresno, California, United States|V Royter, MD, APMC, Hanford, California, United States|Research Site, Irvine, California, United States|Research Site, Lancaster, California, United States|Mary S. Easton Center for Alzheimer's Disease Research, UCLA, Los Angeles, California, United States|Hoag Memorial Hospital Presbyterian, Newport Beach, California, United States|Research Site, Palo Alto, California, United States|Pacific Research Network, Inc, San Diego, California, United States|Syrentis Clinical Research, Santa Ana, California, United States|Associated Neurologists of Southern Connecticut, P.C., Fairfield, Connecticut, United States|Research Site, New Haven, Connecticut, United States|Research Site, New Haven, Connecticut, United States|JEM Research Institute, Atlantis, Florida, United States|Brain Matters Research, Delray Beach, Florida, United States|Neuropsychiatric Research Center of Southwest Florida, Fort Myers, Florida, United States|Renstar Medical Research, Ocala, Florida, United States|Bioclinica Melbourne, Orlando, Florida, United States|Research Site, Port Orange, Florida, United States|Research Site, Stuart, Florida, United States|Axiom Clinical Research of Florida, Tampa, Florida, United States|Research Site, Tampa, Florida, United States|Research Site, The Villages, Florida, United States|Emory University Cognitive Neurology Clinic & ADRC, Atlanta, Georgia, United States|McLean Hospital, Belmont, Massachusetts, United States|Research Site, Boston, Massachusetts, United States|Research Site, Boston, Massachusetts, United States|ActivMed Practices & Research, Methuen, Massachusetts, United States|Boston Center for Memory, Newton, Massachusetts, United States|Donald S. Marks, M.D., P.C., Plymouth, Massachusetts, United States|Research Site, Las Vegas, Nevada, United States|Las Vegas Medical Research, Las Vegas, Nevada, United States|The Cognitive Research Center of New Jersey, Springfield, New Jersey, United States|Advanced Memory Enhancement Center of NJ, Toms River, New Jersey, United States|Research Site, New York, New York, United States|AD-CARE, University of Rochester, Rochester, New York, United States|Research Site, Staten Island, New York, United States|Cleveland Clinic, Cleveland, Ohio, United States|Research Site, East Providence, Rhode Island, United States|Rhode Island Mood & Memory Research Institute, East Providence, Rhode Island, United States|Research Site, Providence, Rhode Island, United States|Research Site, Providence, Rhode Island, United States|Neurology Clinic, PC, Cordova, Tennessee, United States|Baylor Colledge of Medicine, Houston, Texas, United States|The Methodist Hospital, Houston, Texas, United States|The Memory Clinic, Inc., Bennington, Vermont, United States|Research Site, Fairfax, Virginia, United States|Research Site, Box Hill, Victoria, Australia|Research Site, Caulfield, Victoria, Australia|Research Site, Heidelberg West, Victoria, Australia|Research Site, Melbourne, Victoria, Australia|Research Site, Parkville, Victoria, Australia|Research Site, Strasbourg Cedex, Bas Rhin, France|Research Site, Bordeaux Cedex, Gironde, France|Research Site, Toulouse Cedex 9, Haute Garonne, France|Research Site, Montpellier, Herault, France|Research Site, Rennes cedex 2, Ille Et Vilaine, France|Research Site, Nantes cedex 1, Loire Atlantique, France|Research Site, Villeurbanne, Rhone, France|Research Site, Paris, France|Research Site, Paris, France|Research Site, Böblingen, Baden Wuertemberg, Germany|Research Site, Mannheim, Baden Wuerttemberg, Germany|Research Site, Ulm, Baden Wuerttemberg, Germany|Research Site, Muenchen, Bayern, Germany|Research Site, Frankfurt, Hessen, Germany|Research Site, Bonn, Nordrhein Westfalen, Germany|Research Site, Altenburg, Thueringen, Germany|Research Site, Berlin, Germany|Research Site, Brescia, Italy|Research Site, Milano, Italy|Research Site, Padova, Italy|Research Site, Palermo, Italy|Research Site, Roma, Italy|Research Site, Vicenza, Italy|Research Site, Obu-shi, Aichi-Ken, Japan|Research Site, Chiba-shi, Chiba-Ken, Japan|Research Site, Kawasaki-shi, Kanagawa-Ken, Japan|Research Site, Kyoto-shi, Kyoto-Fu, Japan|Research Site, Kurashiki-shi, Okayama-Ken, Japan|Research Site, Suita-shi, Osaka-Fu, Japan|Research Site, Shinjuku-ku, Tokyo-To, Japan|Research Site, Bydgoszcz, Poland|Research Site, Lublin, Poland|Research Site, Sopot, Poland|Research Site, Warszawa, Poland|Research Site, Warszawa, Poland|Research Site, Getxo, Vizcaya, Spain|Research Site, Barcelona, Spain|Research Site, Barcelona, Spain|Research Site, Barcelona, Spain|Research Site, Lleida, Spain|Research Site, Madrid, Spain|Research Site, Sevilla, Spain|Research Site, Valencia, Spain|Research Site, Malmo, Sweden|Research Site, Molndal, Sweden|Research Site, Stockholm, Sweden",,"https://ClinicalTrials.gov/show/NCT03352557"
19,"NCT02097056","Safety and Efficacy of Donepezil HCl 23 mg in Patients With Moderate to Severe Alzheimer's Disease","SAVE","Completed","Has Results","Alzheimer's Disease","Drug: Donepezil HCL","Overall Summary of Adverse Events (AEs)|Change From Baseline in the Mini-Mental State Examination (MMSE) Score|Change From Baseline in the Neuropsychiatric Inventory Questionnaire (NPI-Q) Severity and Distress Total Scores","Eisai Korea Inc.|Eisai Inc.","All","45 Years to 90 Years   (Adult, Older Adult)","Phase 4","171","Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","ART-M082-401","February 2014","May 2015","May 2015","March 26, 2014","June 27, 2016","June 27, 2016","Chungju, Chungcheongbuk-do, Korea, Republic of|Ansan, Gyeonggi-do, Korea, Republic of|Buchoen, Gyeonggi-do, Korea, Republic of|Seongnam, Gyeonggi-do, Korea, Republic of|Jinju, Gyeongsangnam-do, Korea, Republic of|Iksan, Jeollabuk-do, Korea, Republic of|Hwasun, Jeollanam-do, Korea, Republic of|Busan, Korea, Republic of|Daegu, Korea, Republic of|Daejeon, Korea, Republic of|Incheon, Korea, Republic of|Jeju, Korea, Republic of|Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02097056"
20,"NCT02158910","A Plan on Investigation and Collection of Aricept Safety Information With a Dose Increase on Alzheimer's Disease Patients","AID","Completed","No Results Available","Alzheimer's Disease","Drug: Aricept","Safety and tolerability due to an increase of Aricept in patients with Alzheimer's disease.","Eisai Korea Inc.|Eisai Inc.","All","Child, Adult, Older Adult",,"2231","Industry","Observational","Observational Model: Case-Only|Time Perspective: Prospective","ART-M082-601","March 2015","June 2016","June 2016","June 9, 2014",,"March 7, 2017","Busan, Korea, Republic of|Chungcheongbuk-do, Korea, Republic of|Chungcheongnam-do, Korea, Republic of|Daegu, Korea, Republic of|Gangwon-do, Korea, Republic of|Gwangju, Korea, Republic of|Gyeonggji-do, Korea, Republic of|Gyeongsangbuk-do, Korea, Republic of|Gyeongsangnam-do, Korea, Republic of|Jeju-do, Korea, Republic of|Jeollabuk-do, Korea, Republic of|Jeollanam-do, Korea, Republic of|Seoul, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02158910"
21,"NCT02946710","P75NTR, Diagnostic Biomarker for Alzheimer's Disease: Quantification Study in Cerebrospinal Fluid","P75NTR-MND","Completed","No Results Available","Alzheimer Disease","Biological: cerebrospinal fluid","Concentration of p75NTR-ECD total|Concentration of p75NTR-ECD bound to Aβ1-40 and Aβ1-42|expression of p75NTR-ECD between patient groups","University Hospital, Toulouse","All","40 Years and older   (Adult, Older Adult)",,"120","Other","Observational","Observational Model: Other|Time Perspective: Retrospective","14 7317 02","December 2014","June 2017","December 2017","October 27, 2016",,"April 3, 2018","University Hospital of Toulouse, Toulouse, France",,"https://ClinicalTrials.gov/show/NCT02946710"
22,"NCT02220738","Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of ABT-957 in Subjects With Mild-to-Moderate Alzheimer's Disease on Stable Doses of Acetylcholinesterase Inhibitors",,"Terminated","No Results Available","Alzheimer's Disease","Drug: ABT-957|Other: Placebo for ABT-957","Pharmacokinetic evaluation of the two ABT-957 diastereomers|Number of subjects with adverse events","AbbVie","All","55 Years to 90 Years   (Adult, Older Adult)","Phase 1","19","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","M13-334","September 2014","March 2016","March 2016","August 20, 2014",,"June 16, 2016","Site Reference ID/Investigator# 129545, Glendale, California, United States|Site Reference ID/Investigator# 129435, Orlando, Florida, United States|Site Reference ID/Investigator# 129641, New York, New York, United States|Site Reference ID/Investigator# 144825, Salt Lake City, Utah, United States",,"https://ClinicalTrials.gov/show/NCT02220738"
23,"NCT02005380","Usability Study of Spaced Retrieval Exercise Using Mobile Devices for Alzheimer's Disease Rehabilitation",,"Completed","No Results Available","Alzheimer's Disease","Other: Text-based task|Other: Graphic-based Task","NASA Task Load Index Measure|Test Score","German-Jordanian University","All","60 Years and older   (Adult, Older Adult)",,"20","Other","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","GJU001","November 2013","November 2013","November 2013","December 9, 2013",,"December 9, 2013","Darat Samir Shamma, Amman, Jordan",,"https://ClinicalTrials.gov/show/NCT02005380"
24,"NCT01078168","Alzheimer`s Disease Acitretin Medication","ADAM","Completed","Has Results","Alzheimer Disease","Drug: Acitretin|Drug: Placebo","Difference in Cerebrospinal Fluid (CSF) Soluble Alpha-clevaed Amyloid Precursor Protein (APPsα) Concentration at Visit 3 Compared to Baseline","K. Lieb|Alzheimer Forschungsinitiative e.V. (AFI)|Johannes Gutenberg University Mainz","All","18 Years and older   (Adult, Older Adult)","Phase 2","22","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","ADAM|2009-011881-27","March 2010","January 2013","May 2013","March 2, 2010","February 2, 2018","February 2, 2018","Department of psychiatry and psychotherapy, University medical center of the Johannes Gutenberg-University Mainz, Mainz, Rheinland-Pfalz, Germany|Universität Rostock, Rostock, Germany",,"https://ClinicalTrials.gov/show/NCT01078168"
25,"NCT02899091","Evaluation of the Safety and Potential Therapeutic Effects After Intravenous Transplantation of CB-AC-02 in Patients With Alzheimer's Disease",,"Recruiting","No Results Available","Alzheimer's Disease","Biological: CB-AC-02|Biological: Placebo","Number of Adverse Events|Changes from the baseline in ADAS-Cog (Azheimer's disease Assessment Scale - Congintive Subscale) Score|Changes from the baseline in K-MMSE (Korean-Mini Mental Status Examination) Score|Changes from the baseline in GDS (Global Deterioration Scale)|Changes from the baseline in CDR (Clinical Dementia Rating) Score|Changes from the baseline in K-IADL (Korean Instrumental Activities of Daily Living) Score|Changes from the baseline in CGA-NPI (Caregiver Administered-Neuropsychiatric Inventory) Score|Change in CIBIC (Clinician Interview Based Impression of Change)-plus|Changes from the baseline in SF-36|Changes in Amyloid Beta and Tau amount (pg/mL) in CSF (Cerebrospinal fluid)|Change in Brain MRI (Magnetic Responance imaging)|Change from the baseline of CMRglc (cerebral metabolic rate for glucose ) analyzed with SPM (statistical parametric mapping) with Brain FDG PET imaging|Changes from the baseline of Amyloid amount analyzed with SPM (statistical parametric mapping) with amyloid PET imaging|Changes of band power in qEEG (Quantitative electroencephalography)","CHABiotech CO., Ltd","All","50 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","24","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment","CHA-PAD-101","September 2016","December 2021","December 2021","September 14, 2016",,"September 6, 2019","Bundang Medical Center, Seongnam-si, Gyeonggi-do, Korea, Republic of",,"https://ClinicalTrials.gov/show/NCT02899091"
