cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
hit by a car,"violent accidental death (transport, blown in minefield...)",2016,1,"a 20-year old man, asylum seeker from Syria, died on the highway near Frankfurt Airport."
drowned,drowning or exhaustion related death,2016,1,"a 27-y.o. man was found unconsious in port Rafti in Attika, and later died in hospical."
drowned,drowning or exhaustion related death,2016,7,7 bodies were found by Tunisian fishermen in a port close to Lybian border
drowned,drowning or exhaustion related death,2016,1,"a man was found unconsious in the area of Nea Makri, Attika, and died in the Korgialenio - Benaki hospital"
suicide,suicide,2016,1,A gay Russian opposition activist who lived in Luxembourg as an asylum seeker has committed suicide. He suffered from depression.
drowned,drowning or exhaustion related death,2016,9,"4 women and a child have drowned as their boat capsized in the Aegean Sea close to Samos on Saturday. 5 people have survuved, 4 still missing."
shot,authorities related death,2016,4,4 refugees were killed in a violent riot in a detention centre in Zawiya. The centre held refugees who were arrested on Libya's coast when they were trying to reach Europe.
drowned,drowning or exhaustion related death,2016,1,a refugee was found unconsious in the water and died in hospital ner the city of Voula
drowned,drowning or exhaustion related death,2016,1,"a woman, about 30, was found dead on the island of Samos"
ran over by a truck,"violent accidental death (transport, blown in minefield...)",2016,1,a Kurnish teenager (18 y.o.)  has died in Oxfordshire trying to travel underneath a truck from Dunkirk to Manchester. He had a legitimate right to stay in the UK.
drowned,drowning or exhaustion related death,2016,12,the Egyptian coast guard reported that 127 weere rescued and 4 drowned after a boat sank off Kafr el-Sheikh province
shot,authorities related death,2016,16,"16 Syrian refugees, including 3 children, were shot by Turkish soldiers at the border since the start of 2016, Syrian Observatory for Human Rights reported."
drowned,drowning or exhaustion related death,2016,90,"IOM Italy reports 86 refugees as missing after a boat sank off the cost of Libya, 4 corpses were later found on the Italian coast."
drowned,drowning or exhaustion related death,2016,84,IOM Italy reported 84 people as dead off the coast of Libya
ran over by a truck,"violent accidental death (transport, blown in minefield...)",2016,1,a 22-year old man died in hospital after being run over by a truck in the port of Calais
drowned,unknown - supposedly exhaustion related death,2016,1,a 55-year old man was found dead in the sea off Rodos
drowned,drowning or exhaustion related death,2016,12,"12 bodies have been found on the Libyan cost near Tripoly, the coast guard estimates they must have been in the waterr for several days"
illness,other,2016,1,"a 15-year old boy from Somalia died of lung infection in hospital in Cagliali, Italy"
unknown,unknown - supposedly exhaustion related death,2016,1,a 47-year old woman was found dead on the edge of the water on the city of Patras
unknown,unknown - supposedly exhaustion related death,2016,2,2 men were found dead in Bulgaria close to the Turkish border
drowned,drowning or exhaustion related death,2016,4,4 people were reported dead by the IOM Italy between Libya and Lampedusa
unknown,unknown - supposedly exhaustion related death,2016,2,"2 girls aged 1 and 2, were found dead in a boat on the Greek island of Ro"
drowned,drowning or exhaustion related death,2016,2,"2 refugees, aged 36 and 39, died in a hospital on the island of Lesvos, city of Mytilene, after being rescued from a boat by the coast guard"
drowned,drowning or exhaustion related death,2016,2,2 underage girls died in a hospital on the island of Kalolimnos after being resqued from a boat with 57 other people
drowned,drowning or exhaustion related death,2016,1,"a body was found near Catania, Sicily"
drowned,drowning or exhaustion related death,2016,1,"a body was found near Pozallo, Sicily"
drowned,drowning or exhaustion related death,2016,9,"9 people have drowned off Lybia, supposedly trying to reach Europe"
drowned,drowning or exhaustion related death,2016,4,4 people died when their boat cought fire off the cost of Libya
drowned,drowning or exhaustion related death,2016,8,8 men from Pakistan were reported missing near the island of Kos
drowned,drowning or exhaustion related death,2016,3,"Italian coast guard and navy, and a Norvegian ship found 3 drowned people during a search and resque operation in between Sicily and Borth Africa"
drowned,drowning or exhaustion related death,2016,1,A teenage boy from a North African country drowned trying to get on a boat standing in Melilla
drowned,drowning or exhaustion related death,2016,3,A woman and two men drowned in a river close to the Greek-Macedonian border due to the string current
fell off a train,"violent accidental death (transport, blown in minefield...)",2016,1,"A teenager from Egypt has died after jumping off a train in Southern Germany. A few days before that, he was deported out of Germany. When discovered hiding under a seat, he handed the officians his documents (issued in Austria), and then rushed into another compartment, and jumped out of a window."
drowned,drowning or exhaustion related death,2016,1,a body of a man was found on a beach in Samos (N-E)
drowned,drowning or exhaustion related death,2016,1,a body of a man was found on a beach in Samos
drowned,drowning or exhaustion related death,2016,7,5 people (including a baby) from Iran and Afhganistnan  have drowned off the Turkish coast while trying to reach Lesbos. The Turkish coast guard saved 9 more.
drowned,drowning or exhaustion related death,2016,25,"A boat sank off the Coast of Turkey, 25 people died among them 10 children. 15 were rescued."
shot by border police,authorities related death,2016,10,"SOHR activists were informed that the Turkish border guards targeted a number of civilians during an attempt to cross from Lattakia and Idlib into Turkey what killed 2 civilians and wounded 10 others, it is still unknown if they have reached the Turkish borders, reports that the Turkish border guards also killed 8 others during attempts to cross into the Turkish lands."
unknown,other,2016,1,IOM reported a death of a child in Mytilene  hospital in Lesvos due to respiratory problems
wounded,"violent accidental death (transport, blown in minefield...)",2016,42,"The PYD reports that 42 people were wounded and killed during internal fightings trying to reach the border and going on the seas to escape the fights,"
unknown,unknown - supposedly exhaustion related death,2016,5,IOM Italy reported death of 5 people between Tunisia and Italy
wounded,"violent accidental death (transport, blown in minefield...)",2016,2,"2 Syrian children died in the hospital of Kilis, Turkey after fleeing a Russian airstrike in their hometown Aleppo"
drowned,drowning or exhaustion related death,2016,2,2 drowned refugees were found on Firday near Sicily by the Italian coast guard. They are believed to have attempted to get to Italy from Lybia in a wooden boat
unknown,unknown - supposedly exhaustion related death,2016,1,1 Afhgan boy (4 y.o.) was found dead in a boat that docked on the island of Chios
murdered,malicious intent related death / manslaughter,2016,1,"1 man was killed in a fight in a refugee centre in Sweden, in the town of Ljusne"
disappeared,other,2016,1,"1 man, 36 year old, from Afghanistan, diesppaeared on his way from Calais Jungle to a supermarket"
starved,other,2016,1,"1 year old baby died at Adana Bus station due to coldness and starvation. The familiy walked from Aleppo to Hatay (Turkey), then took a bus when the child died at the satation"
drowned,drowning or exhaustion related death,2016,1,"1 man was found dead near the coast of Calais by the French coast guard. The corps has been in the water for a long time, and there were no papers on him."
drowned,drowning or exhaustion related death,2016,38,27 people (11 children) were found dead and 4 were resqued after a boat capsized in West Turkey 
exposure,other,2016,2,"2 women, aged approx. 14-16 and 30-40, have frozen to death while crossing the Balkans"
drowned,drowning or exhaustion related death,2016,9,"9 people (including 2 children) drowned, and 2 were saved when a boat sank off the coast of the Turkish provice Izmir."
drowned,drowning or exhaustion related death,2016,3,3 people drowned on the way from Didim to Farmakonisi. 12 were rescued by the Turkish coast guyrd
drowned,drowning or exhaustion related death,2016,70,IOM reported 6 people dead and 64 missing in the Channel of Sicily
drowned,drowning or exhaustion related death,2016,39,"39 people (including 5 children) drowned and 75 saved by the Turkish coast guard after their boat hit the rocks on its way to Lesbos from Canakkale. The refugees came from Syria, Maynmar, and Afghanistan"
drowned,drowning or exhaustion related death,2016,1,A body of an infant was found on the island of Samos 
drowned,drowning or exhaustion related death,2016,1,A body of a man was found on the island of Samos
drowned,drowning or exhaustion related death,2016,6,6 people were found dead in a rummer dinghi by the Italian coast guard during the resque operation between Italy and Lybia. The coast guyrds have resqued 290 from 3 boats.
drowned,drowning or exhaustion related death,2016,37,26 people (10 children) were found dead near an island of Samos. 10 people resqued.
drowned,drowning or exhaustion related death,2016,10,"7 refugees (1 child among them) have drowned attempting to reach the Greek island of Kos. 1 man swam ashore, 3 still missing"
drowned,drowning or exhaustion related death,2016,5,"5 refugees have drowned, and 16 were resqued off the coast of Didim, West Turkey, as their boat sank on its way to the Greek island of Farmakonisi"
unknown,unknown - supposedly exhaustion related death,2016,1,A body was brought to Sicily together with 700 rescued people
stabbed,malicious intent related death / manslaughter,2016,1,"A Pakistani man was stabbed to death, and 2 more wounded by a group of 5 menon the border to Macedonia"
drowned,drowning or exhaustion related death,2016,1,A body of a man was found on the island of Samos (East)
drowned,drowning or exhaustion related death,2016,2,2 bodies (man and woman) were founded dead on the north-east of Samos
drowned,drowning or exhaustion related death,2016,1,A heavily decayed body of a man was found on the island of Skyros by the coast guyrd
drowned,drowning or exhaustion related death,2016,1,"A body of an underage girl was found on the island of Lesvos, Kaiga beach"
unknown,unknown - supposedly exhaustion related death,2016,2,a man was found dead on the border of Bulgaria and Serbia
ran over by a truck,"violent accidental death (transport, blown in minefield...)",2016,1,"A young man (22) died trying to travel under a truck, but fell on the road and was ran over"
drowned,drowning or exhaustion related death,2016,1,A body of a man was found off the coast of Samos (north)
drowned,drowning or exhaustion related death,2016,8,8 people drowned as a boat sank off the coast of the Greek island of Farmakonissi
drowned,drowning or exhaustion related death,2016,35,"35 bodies (17 women, 7 men, 11 children) recovered from a shipwreck off the coast of Kalolimnos, 26 people were resqued by the Greek coastguard. Later Turkeich coast gurd recovered 3 more bodies, and reseuqed 6 survivors in the area between Kalolimnos and Farmakonisi. They were crossing in a wooden sailboat"
drowned,drowning or exhaustion related death,2016,24,"13 refugees (including a pregnant woman and 5 children) drowned, and 26 were resqued by the Turkish coast guard as a boat capsied on its way to Lesvos off the Tirkish resort town Foca"
hypothermia,drowning or exhaustion related death,2016,3,2 women and a 5-year old child died of hypothermia in Lesvos 
unknown,unknown - supposedly exhaustion related death,2016,1,a man was found dead on the border of Bulgaria and Serbia
drowned,drowning or exhaustion related death,2016,9,Migrants reported that smugglers have killed one and pushed 8 overboard
drowned,drowning or exhaustion related death,2016,1,A decayed body of a drowned woman found on the coast of  Fournoi  island
suffocation,other,2016,1,"An Afghan boy, aged 15, soffucated in a truck while trying to cross into the UK from Calais"
exposure,other,2016,1,An Indian man froze to death while waiting in a car trying to get into Finland from Russia
suicide,suicide,2016,1,"An Iraqi man killed himself in a refugee selter in the Netherlands, Alphen aan den Rijn"
drowned,drowning or exhaustion related death,2016,1,"A heavily decayed body of a man was found by the coast guard on Samos, Remataki area"
drowned,drowning or exhaustion related death,2016,6,"six bodies were found dead by the Greek coast guard off te coast of the island of Samos, believed to be drowned refugees"
drowned,drowning or exhaustion related death,2016,4,"4 people, (1 adult, 3 children), drowned when their boat sank on its way to Lesbos"
unknown,unknown - supposedly exhaustion related death,2016,1,a baby found dead in a boat with 63 refugees that arrived to Farmakonissi on Friday. All other 63 passengers made it to the shore safely
drowned,drowning or exhaustion related death,2016,3,"2 children drowned in a shipwreck near the Greek island of Agathonisi. 20 people were resqued by the volunteers, among them the Turkish smuggler, who was handed over to the Greek police."
drowned,drowning or exhaustion related death,2016,6,The bodies of five men and one woman have been washed ashore in West Turkey this Tuesday. They have beed dead for 5 to 10 days.
exposure,other,2016,1,"A body of a man was found in the landing gear of an airplane in Orly. The aircraft belongs to Air France, and came from Barzil"
drowned,drowning or exhaustion related death,2016,6,"As a group of 37 Somali refugees tried to reach the Puglia coast, thrown into the water by the trafickers. 35 resqued, 1 woman found drowned, at least 5 women reported missing"
drowned,drowning or exhaustion related death,2016,6,"Two women and a 5-y.o.girl drowned after a speedboat sinks off Ayvacik on its way to Lesbos, carrying 16 migrants. The rest survived, rescued or swam ashore. The search continues for 2 men and a boy. Cause of the accident- bad weather"
drowned,drowning or exhaustion related death,2016,1,A heavily decayed body of a woman found on Lesvos
car accident,"violent accidental death (transport, blown in minefield...)",2016,4,"A bus carrying refugees collided with a car in the Turkish province of Canakkale, on the way to Ayvalik, killing 6 people, 4 of them migrants"
car accident,"violent accidental death (transport, blown in minefield...)",2016,7,"A bus carrying refugees overturned in Turkish province of Balikesir, on the way to Ayvalik, killing 8 people, including the driver, and injuring 42"
car accident,"violent accidental death (transport, blown in minefield...)",2016,6,Rescuers have pulled out six bodies from the wreckage of a bus that crashed into a car in northwest Turkey.
drowned,drowning or exhaustion related death,2016,1,A decayed body of a drowned woman found on the coast of  Fournoi  island
drowned,drowning or exhaustion related death,2016,7,"The bodies of 36 migrants have been found, including 29 recovered by the Turkish gendarmerie and seven by the coastguard. It was not immediately clear how many boats had sunk in the high seasonal winds although the Dogan news agency said at least two separate incidents were involved."
drowned,drowning or exhaustion related death,2016,29,"The bodies of 36 migrants have been found, including 29 recovered by the Turkish gendarmerie and seven by the coastguard. It was not immediately clear how many boats had sunk in the high seasonal winds although the Dogan news agency said at least two separate incidents were involved."
drowned,drowning or exhaustion related death,2016,2,"2  bodies, of a young woman (about 25), and a girl (7-10) was found on the island of Ikaria"
drowned,drowning or exhaustion related death,2016,1,A body of a man was found on the island of Tinos
drowned,drowning or exhaustion related death,2016,1,"A heavily decayed body of a man, 30-40 y.o. was found on the shore of Samos"
drowned,drowning or exhaustion related death,2016,4,"4 bodies (1 woman, 3 men)  were washed ashore on the island of Fournoi"
drowned,drowning or exhaustion related death,2016,1,A drowned two-year-old boy became the first known migrant casualty of the year on Saturday after the crowded dinghy he was travelling in slammed into rocks off Greece's Agathonisi island
car accident,"violent accidental death (transport, blown in minefield...)",2015,1,A Iranian man died. His head was crushed by a bridge pillar
stabbed,malicious intent related death / manslaughter,2015,1,"A 41-year-old man from Guinea-Bissau was stabbed, causing a riot"
drowned,drowning or exhaustion related death,2015,2,A mass attempt to scale the border fence on the Spanish island of Ceuta and reach European shores has left at least two people dead and 12 others injured.
drowned,drowning or exhaustion related death,2015,11,11 people including three children crossing the Aegean Sea to Greece have drowned after their boat capsized
drowned,drowning or exhaustion related death,2015,20,"At least 18 migrants drowned when their overcrowded boat sank in the Aegean Sea, the Turkish coastguard recovered the bodies including several children from the sea, and were hunting for another two who were missing"
unknown,unknown - supposedly exhaustion related death,2015,1,"15 people - 13 men and two women - were rescued and taken for health checks to the nearby island of Leros, where Greece has set up dozens of prefabricated homes. One person was still missing according to witnesses, the officials said."
drowned,drowning or exhaustion related death,2015,13,"Seven children, four men and two women drowned when a boat carrying migrants capsized off the tiny Greek island of Farmakonisi"
drowned,drowning or exhaustion related death,2015,2,"The bodies of two people, including a three-and-a-half year old child and a 17-year-old girl, were found off the coast of Çeşme in İzmir province."
drowned,drowning or exhaustion related death,2015,12,"Two migrants trying to reach Europe by boat drowned off Libya on Monday, another 10 were missing and more than 100 were rescued."
tortured,malicious intent related death / manslaughter,2012,1,"Umar Bilemkhanov, a Chechen dissident whose asylum request had been declined, was later found dead in 2012 after being tortured"
tortured,malicious intent related death / manslaughter,2013,1,"Nazjujev, a Chechen dissident whose asylum request had been declined, was in 2013 found dead in a river,  with his teeth and nails pulled out, his knee caps shattered, broken skull and deep lacerations on his body, according to an autopsy report"
drowned,drowning or exhaustion related death,2015,4,Four Syrian migrants – three of them children - drowned
drowned,drowning or exhaustion related death,2015,18,At least 18 migrants have drowned and 14 others were rescued after a boat taking them to Greece sank off the Turkish coast.
drowned,drowning or exhaustion related death,2015,4,Four Iraqis including two children have drowned after a Greece-bound migrant vessel capsized in the Aegean Sea
unknown,unknown - supposedly exhaustion related death,2015,2,A man and a child died after their boat sank on its way from Turkey to the island of Lesbos.
unknown,unknown - supposedly exhaustion related death,2015,2,"Two Iraqi children, aged six and two, were found dead off the Turkish resort town of Çeşme"
unknown,unknown - supposedly exhaustion related death,2015,4,Four children have drowned off the west coast of Turkey after a boat carrying refugees sank
drowned,drowning or exhaustion related death,2015,6,Greek coast guard officers recovered the bodies of three of the six people who were reported missing after their boat capsized off the coast of Kastelorizo
stabbed,malicious intent related death / manslaughter,2015,1,An Afghan refugee was stabbed to death in refugee shelter in Germany
drowned,drowning or exhaustion related death,2015,1,"Ten-year-old Nergis Maghsoudi drowned early Dec. 14 after a boat heading to the Greek island of Lesbos, with 50 Afghan migrants aboard, capsized in international waters."
drowned,drowning or exhaustion related death,2015,13,"Four refugees drown, nine missing as boat capsizes in Aegean Sea"
unknown,unknown - supposedly exhaustion related death,2015,1,A six-month-old baby was found dead off the Aegean coast after another migrant boat bound for Farmakonisi capsized on Dec. 8 at around 10 p.m
drowned,drowning or exhaustion related death,2015,11,11 African migrants drown trying to reach Canary Islands by boat
unknown,unknown - supposedly exhaustion related death,2015,24,"The Greek coast guard said 12 people were found dead, including six children, and 12 were missing after a migrant boat sank in the Aegean Sea off the Greek island of Farmakonisi"
drowned,drowning or exhaustion related death,2015,8,"Six Afghan children drowned after a rubber dinghy carrying migrants to Greece sank off Turkey's Aegean coast, the state-run news agency reported.
 Rescuers were searching for two other migrants who were reported missing."
stabbed,malicious intent related death / manslaughter,2015,1,"A 25 year old Sudanese was stabbed in the ""Jungle"" in Calais"
asphyxiated,authorities related death,2015,2,Two cameroonian men died asphyxiated in a cave as Moroccan police burnt blankets in front of the cave
hit by a car,"violent accidental death (transport, blown in minefield...)",2015,1,A Sudanese 16 years old was hit by a car on a highway near Coquelles
unknown,unknown - supposedly exhaustion related death,2015,4,Greek authorities say they have recovered the body of a woman and are still searching for three other missing migrants after their small boat sank in the eastern Aegean Sea.
electrocuted,"violent accidental death (transport, blown in minefield...)",2015,1,A migrant was electrocuted to death at the Greek-Macedonian border during a second successive day of clashes between police and migrants stranded for weeks on the Greek side.
drowned,drowning or exhaustion related death,2015,1,A 4-year-old child was reported drowned as she and 28 fellow passengers tried to swim to the shore of Ro.
unknown,unknown - supposedly exhaustion related death,2015,33,At least 30 people are missing after a boat carrying refugees sank off Turkey's western coast. The bodies of three Syrian refugees were found washed up on a nearby beach.
shot,malicious intent related death / manslaughter,2015,4,"Armed men attacked a lorry carrying migrants in northern Mali, killing four people and wounding six"
drowned,drowning or exhaustion related death,2015,4,"A boat carrying as many as 55 migrants from Syria and Afghanistan sank hours later off the town of Ayvacik, further north. Four Afghan children drowned in that incident, Anadolu reported."
drowned,drowning or exhaustion related death,2015,2,"A wooden boat smuggling some 20 people to the island of Kos capsized in bad weather off the Aegean resort of Bodrum. The state-run Anadolu Agency says most of the migrants made it to shore with the help of rescuers, but two sisters aged 4 and 1 drowned"
shot by the police,authorities related death,2015,6,The bodies of six Sudanese migrants who had been shot dead were found in Egypt's Sinai Peninsula near the Israeli border
unknown,unknown - supposedly exhaustion related death,2015,1,Turkish fishermen found the dead body of a 4-year-old Syrian migrant girl off Turkey’s Bodrum coast
burned,"violent accidental death (transport, blown in minefield...)",2015,18,A fire sparked by an electrical fault has killed 18 people and injured 43 others at a camp in Algeria
stabbed,malicious intent related death / manslaughter,2015,1,A 17-year-old girl was stabbed to death at a refugee reception centre in Western Norway
hit by a car,"violent accidental death (transport, blown in minefield...)",2015,1,A man between 25 and 30 was hit by a car near Grande-Synthe
unknown,unknown - supposedly exhaustion related death,2015,2,"The discovery of two bodies inside a container at industrial premises is being treated as suspicious, police have said. It is likely the bodies, thought to be those of two migrants aged under 30, were inside the crates for some time."
unknown,unknown - supposedly exhaustion related death,2015,18,Spain's coast guard says at least one person died when a boat capsized off the western coast of Africa while trying to take sub-Saharan Africans to the Canary Islands and that a search is underway to try to find at least 17 missing people.
unknown,unknown - supposedly exhaustion related death,2015,15,One of the 15 migrants reported missing after a boat capsized off the Aegean resort town of Bodrum has been found dead.
hit by a train,"violent accidental death (transport, blown in minefield...)",2015,1,An afghan asylum seeker was hit by a train
unknown,unknown - supposedly exhaustion related death,2015,11,"A plastic boat carrying migrants capsized in the eastern Aegean Sea near the Greek island of Kos, killing at least nine people including four children, authorities said. Crews were searching for two boys who were reported missing by survivors."
unknown,unknown - supposedly exhaustion related death,2015,1,"A body of a man about 30 years old, in an advanced state of decomposition, was found at sea off the island of Lesbos"
hit by a train,"violent accidental death (transport, blown in minefield...)",2015,1,"A girl was part of a family of six who were following train tracks to the city of Alexandroupolis. The girl apparently slipped away from her parents and was struck by a passing train, police say. "
unknown,unknown - supposedly exhaustion related death,2015,1,"A boy died at sea when the inflatable boat carrying 15 migrants and an operator smashed on rocks off the coast of the island of Chios, the Greek coast guard says. The boat engine exploded and all passengers jumped into the sea"
shot by the police,authorities related death,2015,15,15 African migrants were shot to death in Egypt’s Sinai Peninsula while trying to reach Israel
unknown,unknown - supposedly exhaustion related death,2015,6,"4 people died after falling off a boat near Chios. 22 were rescued, but 2 are still missing."
drowned,drowning or exhaustion related death,2015,14,Fourteen people drowned off Turkey’s western coast when a boat packed with refugees sank
unknown,unknown - supposedly exhaustion related death,2015,2,"Eleven people, including two children, were rescued, while the body of a male refugee was retrieved. His wife is reportedly still missing."
drowned,drowning or exhaustion related death,2015,1,"The boy, aged 2-3 years, was found off the coast of Lesbos fully clothed, including boots, and wearing an orange life jacket, the Greek coast guard said in a statement."
drowned,drowning or exhaustion related death,2015,2,"One child drowned and another was missing off the Greek island of Kos
"
unknown,unknown - supposedly exhaustion related death,2015,4,Greek authorities say three adults and a child are missing in the sea off the eastern island of Lesbos after an accident involving a boat with more than 40 migrants on board.
drowned,drowning or exhaustion related death,2015,4,"Greek authorities say four more people have drowned off the eastern island of Lesbos, after an accident involving a boat with nearly 50 migrants on board who had crossed over from nearby Turkey. The dead were identified as two men and two children"
unknown,unknown - supposedly exhaustion related death,2015,10,"Rescuers found the bodies of four migrants after a boat said by survivors to be carrying 15 people sank en route to Greece, authorities said."
unknown,unknown - supposedly exhaustion related death,2015,41,"38 people believed still missing after the sinking of a wooden boat carrying migrants. Earlier, 242 people were rescued and three bodies were recovered."
natural causes,other,2015,1,Croatian police say a 63-year-old woman from Afghanistan has died of natural causes in a refugee camp.
drowned,drowning or exhaustion related death,2015,15,15 migrants including six infants drowned when their boat capsized
unknown,unknown - supposedly exhaustion related death,2015,43,39 refugees have gone missing after their boat capsized off the coast of Morocco in the Mediterranean Sea
drowned,drowning or exhaustion related death,2015,8,"Another boat capsized off the coast of Lesbos, leaving eight more refugees dead"
drowned,drowning or exhaustion related death,2015,6," A woman, child and baby drowned near Rhodes. Six of their fellow passengers were rescued and three others were missing."
unknown,unknown - supposedly exhaustion related death,2015,19,"More than 130 people were rescued from a boat that sank near the island of Kalymnos, killing 19."
unknown,unknown - supposedly exhaustion related death,2015,1,A bosnian child was abducted near a refugee center in Berlin. His body was found in a trunk.
