cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
car accident,"violent accidental death (transport, blown in minefield...)",2015,1,At least one person was killed in a truck/bus accident
burned,"violent accidental death (transport, blown in minefield...)",2015,1,One refugee died in a fire in a reception fire
crushed by a wooden pallet in a truck,"violent accidental death (transport, blown in minefield...)",2015,1,A young Irakian was found dead in a truck in the port of Calais
hit by a train,"violent accidental death (transport, blown in minefield...)",2015,1,Young migrant found dead in Channel Tunnel
intoxicated,"violent accidental death (transport, blown in minefield...)",2015,1,Syrian Teen Who Ate Poisonous Mushroom Dies in Germany
electrocuted,"violent accidental death (transport, blown in minefield...)",2015,1,A man found on Eurotunnel train roof dies from electrocution
run over by a car,"violent accidental death (transport, blown in minefield...)",2015,1,A car hit three migrants walking along the main road in the dark near the city of Szeged in southern Hungary and one of them died in hospital
run over by a train,"violent accidental death (transport, blown in minefield...)",2015,1,1 man was run over by a train between Orestiada and Alexandroupolis
fall,"violent accidental death (transport, blown in minefield...)",2015,1,A migrant has died in Hungary after falling onto train tracks 'while running away from police'.
shot,"violent accidental death (transport, blown in minefield...)",2015,1,A 17-year-old migrant was killed during a shootout at sea between Greek port police and human smugglers
asphyxiated,drowning or exhaustion related death,2015,71,"71 people, presumed to be asylum-seekers, have been found dead in the back of a lorry in Austria."
heart failure,drowning or exhaustion related death,2015,1,A 15 year old Somalian died on the boat of MSF taking him to Italy
asphyxiated,drowning or exhaustion related death,2015,49,"49 people were found dead, probably from suffocation, on an overcrowded fishing boat."
fall,authorities related death,2015,1,A Senegalese man plunged to his death during a police raid
asphyxiated,drowning or exhaustion related death,2015,1,A 27 year old Moroccan has been found axphyxiated in a luggage on a ferry between Mellila and Almeria
fall,"violent accidental death (transport, blown in minefield...)",2015,1,One migrant fall from a train and broke his neck.
fall,"violent accidental death (transport, blown in minefield...)",2015,1,One migrant died falling from a truck.
run over by a car,"violent accidental death (transport, blown in minefield...)",2015,1,One migrant died trying to escape from a police control.
stabbed,malicious intent related death / manslaughter,2015,1,A migrant died while being evacuated from a squat
burned,"violent accidental death (transport, blown in minefield...)",2015,1,One migrant burned while trying to get into the Eurostar tunnel
lack of medical care,malicious intent related death / manslaughter,2015,1,Diabetic child dies on migrant boat after traffickers throw her insulin overboard
run over by a truck,"violent accidental death (transport, blown in minefield...)",2015,1,A migrant got run over by a truck in the Eurotunnel 
electrocuted,"violent accidental death (transport, blown in minefield...)",2015,1,A migrant got electrocuted while trying to get on the top of a train going to the UK
shot,malicious intent related death / manslaughter,2015,1,One migrant was shot during the crossing of the Mediterrannean sea
exhaustion,drowning or exhaustion related death,2015,18,"17 men and 1 woman were found in the desert, shortly after they left Arlit for Algeria"
run over by a car,"violent accidental death (transport, blown in minefield...)",2015,1,On the night of the 29th June Zebiba a 23 year old women from Eritrea was found dead on the side of the A16 between Calais and Marck.
died from dehydration,drowning or exhaustion related death,2015,18,"A pickup truck got lost in the desert outside of Arlit, Niger"
run over by a car,"violent accidental death (transport, blown in minefield...)",2015,1,A 20 years old guy hitted by a car while crossing the highway
asphyxiated,drowning or exhaustion related death,2015,1,A youg afghan has been found dead in a truck
suicide,suicide,2015,1,a young Kurdish man convicted of smuggling hung himself in his cell the night after the trial
run over by a train,"violent accidental death (transport, blown in minefield...)",2015,14,"Fourteen migrants were killed when they were struck by a train in a narrow gorge in Macedonia late on Thursday, part of a growing tide of people trying to get to western Europe via the Balkans instead of crossing the treacherous Mediterranean."
run over by a bus,"violent accidental death (transport, blown in minefield...)",2015,1,"The incident took place on Tuesday night on a ferry linking Igoumenitsa in northwest Greece with Bari across the Adriatic Sea in southeast Italy, Ana said. As the bus drove onto the ferry ramp, the 21-year-old migrant was struck and fatally injured by the axle.        "
burned,"violent accidental death (transport, blown in minefield...)",2015,1,"Just under 70 migrants, many suffering from severe burns, were picked up by Italian coastguards in the Mediterranean sea between northern Libya and Italy on Friday, after spending two days stranded on a half-inflated dinghy. One 25-year old woman died during the journey."
suicide,suicide,2015,1,untreated diabetes
lack of medical care,drowning or exhaustion related death,2015,1,HIV after being denied treatment
hypothermia,drowning or exhaustion related death,2015,29,More than 20 died of hypothermia. Another 15 in critical condition.
drowned or thirst,drowning or exhaustion related death,2015,21,"A Maltese patrol boat rescued about 80 migrants, who claimed 20 had died since leaving from Tripoli. A man died in a Maltese hospital after disembarking."
car accident,"violent accidental death (transport, blown in minefield...)",2015,12,"A people smuggler was carrying 12 Nigerien illegal immigrants from Tarhuna to Tripoli when a military patrol pursued his vehicle. During the pursuit, two military vehicles hit the smuggler's car, causing a tragic accident, in which the smugglers, the 12 immigrants and four troops were killed."
lack of medical care,drowning or exhaustion related death,2014,1,"26-year-old Palestinian, Wael Adeeb Shahwan left the Gaza Strip for Alexandria, smuggled through the tunnels and on the high seas. One night around 20 September, Wael was smuggled onto a boat near Alexandria. The smugglers had stolen everyone's bags and mobile phones, meaning Wael - a diabetic - did not have his insulin."
burned,"violent accidental death (transport, blown in minefield...)",2014,1,Greece's coastguard recovered the body of a migrant who died when a vessel containing at least another 80 people caught fire and sank in the Aegean
asphyxiated,authorities related death,2014,1,An Algerian national died during his deportation. Policemen were present when he died but did not call for help.
run over by a bus,"violent accidental death (transport, blown in minefield...)",2014,1,"Ahmed Abdallah, 16, crossed the channel hidden under a bus. When he tried to leave, he was crushed by the bus."
murdered,malicious intent related death / manslaughter,2014,129,"Survivors told investigators that a fight broke out as persons who were riding in the hold, suffocating from heat and a lack of oxygen, tried to climb on the upper deck. It is understood that the latch to the lower deck was forced shut and a ladder was removed. Conditions soon became unbearable with the intense heat emitted by the engine and the lack of oxygen and those below forced the door open and tried to climb onto the upper deck."
asphyxiated,drowning or exhaustion related death,2014,19,Killed by toxic fumes from the boat's engine.
crushed,"violent accidental death (transport, blown in minefield...)",2014,10,"300 to 400 immigrants were in a boat that was taking in water. An Italian merchant ship that was in the area was requested to assist but 10 people or more, including a baby, died possibly in a stampede during the rescue. They were found dead in the vessel’s hold."
asphyxiated,drowning or exhaustion related death,2014,3,Libya's navy retrieved the bodies of three would-be migrants and rescued almost 100 others after their boat sank
asphyxiated,drowning or exhaustion related death,2014,45,"The victims were in a fishing boat on which 600 people were made to board, more than double the boat's capacity"
hypothermia,drowning or exhaustion related death,2014,13,25 migrants were locked up in a cold store by their traffickers in Libya. 13 died.
suffocated or drowned,drowning or exhaustion related death,2014,45,"The 45 corpses were discovered in the bow area of the boat during the rescue operation, according to a navy statement. The victims were believed to have suffocated or drowned during the crossing. Initial news reports said the migrants had suffocated because they were packed in so tightly. It wasn’t clear if the boat was taking in water when it was rescued."
police violence,authorities related death,2014,1,A 17-year-old Afghan refugee has died after suffering a cerebral hemorrhage following a police beating in the southeastern province of Van.
asphyxiated,drowning or exhaustion related death,2014,30,A fishing boat containing the bodies of about 30 people was being towed by an Italian navy frigate to the Sicilian port of Pozzallo
asphyxiated,drowning or exhaustion related death,2014,1,"A 15-year-old Afghan immigrant was found dead in a truck carrying croissants at the port of Igoumenitsa this week.  According to reports, the youngster had stowed away in the truck with several other irregular migrants.  However, after a while, the atmosphere in the vehicle became stifling and the stowaways abandoned the vehicle.  The 15-year-old, however, had already lost consciousness and was found dead later by port officials.  The Afghan teenager had registered a week earlier with a center for the protection of minors in nearby Konitsa."
run over,"violent accidental death (transport, blown in minefield...)",2014,1,On March 9 an Albanian man was killed on a motorway outside Calais.
run over by a bus,"violent accidental death (transport, blown in minefield...)",2014,1,A migrant has been crushed to death by a British bus he was trying to hide aboard to get to the UK.  The horrific death in Calais is the latest in a long list in which desperate young men lose their lives as they attempt to reach England to claim asylum.  It happened soon after 2pm on Friday in the car park of an Auchan supermarket in the French port.
run over by a truck,"violent accidental death (transport, blown in minefield...)",2014,1,Ethiopian Mesfin Germa was hit by a lorry as he walked to the port of Calais
exhaustion or thirst,drowning or exhaustion related death,2014,46,"At least 13 of the dozens of migrants from Niger abandoned by smugglers in the Sahara desert last week have been found dead in southern Algeria, a local official and a military source in Niger said on Friday. "
crushed,"violent accidental death (transport, blown in minefield...)",2014,1,"A 20-year-old Eritrean whose corps was found on Wednesday in Pozzallo, where 289 other migrants came ashore, died of blows to the head and injuries sustained from being trampled."
exhaustion,drowning or exhaustion related death,2014,10,"Last week, a joint Sudanese-Libyan force rescued 319 migrants after they became stranded in the desert on the border between the two countries, noting their miserable condition.  A Sudanese foreign ministry official told the state news agency SUNA at the time that human traffickers had abandoned the illrgal migrants in the desert. 10 died."
lack of medical care,drowning or exhaustion related death,2014,1,"Death from ""massive pulmonary thromno-embolism"". An investigation was opened to know whether the inmate was denied medical care."
shot,malicious intent related death / manslaughter,2014,1,"Working without required documentation, a man and his French girlfriend were shot at a Paris terrasse."
police violence,authorities related death,2014,13,"Spanish police fired rubber bullets in an attempt to stop migrants from entering the Spanish enclave of Ceuta, which contributed to at least 11 drowning deaths. A further 23 migrants were handed over Moroccan police after they crossed the wall into Ceuta."
shot,malicious intent related death / manslaughter,2014,1,A migrant was shot at Calais. No other details were provided by the police.
run over by a truck,"violent accidental death (transport, blown in minefield...)",2014,1,A Sudanese man believed to have travelled to the UK from Calais by clinging to the bottom of a lorry has died after falling between its wheels on the M25.
hypothermia and dehydration,drowning or exhaustion related death,2014,17,Italian sailors have rescued 278 migrants in the Strait of Sicily but found 16 others dead in their inflatable boat and one more who died shortly after help arrived.
burned,"violent accidental death (transport, blown in minefield...)",2014,2,Two Britain-bound migrants burn to death in the back of lorry in Dunkirk.
lack of medical care,drowning or exhaustion related death,2014,1,"Asfak had suffered serious respiratory problems for months, though he was only hospitalised as his condition became life threatening, according to Greek anti-racism group Keerfa."
run over by a car,"violent accidental death (transport, blown in minefield...)",2014,3,A 16-year-old girl Ethiopian girl died after being hit by a car as she attempted to run across a motorway outside Calais in the early hours of the morning. She was the third migrant to die on the roads in as many weeks.
police violence,authorities related death,2013,1,A man was beaten to death in Angoulême. The police did not comment on the case.
shot by the police,authorities related death,2013,2,"The Egyptian coast guard opened fire on a boat load of Syrians traveling to Italy on the route of smuggling. Two dead on board, including a woman. (Sep 19, 2013)"
exhaustion,drowning or exhaustion related death,2013,60,A group of about sixty people of different nationalities separated in the area between Ajdabiya and Tobruk before getting lost.
burned,"violent accidental death (transport, blown in minefield...)",2013,3,Greek authorities locked up a Syrian refugee for weeks as his wife and two children died in a wildfire on an island where a smuggler had left them.
illness,drowning or exhaustion related death,2013,1,"A 31-year old Moroccan prisoner dies in the Centre for Identification and Expulsion (CIE) for an illness of Crotone, in circumstances not yet clarified (Aug 10, 2013)"
died presumably  from ill treatments,malicious intent related death / manslaughter,2013,1,An Afghan detainee dies from a lung infection that his guards ignored for months.
heart failure,drowning or exhaustion related death,2013,1,Tahir Mehmood was found collapsed at the Pennine House facility. It is thought that he suffered a heart attack while awaiting deportation.
heart failure,drowning or exhaustion related death,2013,1,"About forty men assail the barrier on the border of the Spanish enclave of Melilla, Morocco, and manage to cross the border. One of them, however, died of a cardiorespiratory attack (Jul 25, 2013)"
suicide,suicide,2013,1,A man from Benin committed suicide out of fear that he would be deported. His request had not been treated yet.
died in childbirth,drowning or exhaustion related death,2013,2,"Woman dies in childbirth on a boat set sail from Turkey and landed in Roccella Jonica in Calabria. The body was abandoned at sea (Jun 15, 2013)"
shot by the police,authorities related death,2013,12,Libyan guards killed a dozen Sudanese migrants who had illegally crossed the border.
exhaustion,drowning or exhaustion related death,2013,2,Died in the transfer from a detention center in southern Libya to the border with Niger.
suicide,suicide,2013,1,"After he was attacked by neo-Nazis in Dresden, the victim killed himself in a detention center prior to his expulsion to Italy."
suicide,suicide,2013,1,Moncef S. committed suicide at home after receiving warrant of deportation
heart failure,drowning or exhaustion related death,2013,1,Khalid Shahzad died in a train hours after being released from jail.
exhaustion,drowning or exhaustion related death,2013,1,"Arriving in Chad after an expulsion from Libya, died from a combination of exhaustion, dehydration, lack of food and water and sickness."
murdered,malicious intent related death / manslaughter,2013,1,An undocumented migrant died from knife wounds. No other information is known.
fall,"violent accidental death (transport, blown in minefield...)",2013,1,Died after falling from the fourth floor of his residential building during a police operation.
exhaustion,drowning or exhaustion related death,2013,87,"Rescuers have found the decomposed bodies of 87 people stranded in the harsh Niger desert, most of them children and some eaten by jackals."
heart failure,drowning or exhaustion related death,2013,1,"Terminally ill Canadian man, 84, was kept in handcuffs by staff at Harmondsworth removal centre until after his heart stopped."
suicide,suicide,2013,1,Russian Alexander Dolmatov who had sought political asylum in the Netherlands has committed suicide while awaiting deportation to his homeland.
suicide,suicide,2013,1,Suicide after being arrested for lack of identification papers
suicide,suicide,2013,1,Suicide at prison after being arrested for lack of identification papers
car accident,"violent accidental death (transport, blown in minefield...)",2012,1,"car accident near Alexandroupolis(GR),car driven by smuggler overturned during police chase (Sep 15, 2012)"
shot by the police,authorities related death,2012,1,"The Egyptian border police firing on the border with Israel, killing a 25-year old Eritrean (Sep 9, 2012)"
suicide - jumped in water,suicide,2012,1,"suicide, body found in River Thames (GB), he was waiting for asylum claim to be processed  (Sep 6, 2012)"
suicide - other,suicide,2012,1,"suicide, in a refugee centre in Kirchheim (D), depression due to living conditions  (Apr 8, 2012)"
frozen,"violent accidental death (transport, blown in minefield...)",2012,1,"stowaway, found in landing gear bay of plane at Heathrow (GB), travelled from South Africa  (Aug 22, 2012)"
suicide - hanged,suicide,2012,1,"suicide, hanged himself in Rotherham park (GB) after residency application was rejected (Jul 29, 2012)"
frozen,drowning or exhaustion related death,2012,1,"died of hypothermia in Health Centre of Soufli after crossing Evros River to enter Greece (Jul 1, 2012)"
police violence,authorities related death,2012,1,
police violence,authorities related death,2012,1,"asylum seeker, allegedly beaten to death in police custody in Safi (M);arrived dead in hospital (Jun 29, 2012)"
died presumably  from ill treatments,malicious intent related death / manslaughter,2012,1,"died in a detention centre in Malta, presumably maltreated by Armed Forces while in custody (Jun 28, 2012)"
asphyxiated,drowning or exhaustion related death,2012,2,"stowaways, died of asphyxiation and heat inside a truck on Greece to Ancona (I) ferry (Jun 22, 2012)"
died from dehydration,drowning or exhaustion related death,2012,2,"died of dehydration on stricken vessel of 53 migrants then rescued off Moroccan coast (Jun 11, 2012)"
asphyxiated,drowning or exhaustion related death,2012,3,"stowaway, died of asphyxiation in truck on way to Igoumenitsa (GR), a port leading to Italy (Jun 1, 2012). From Del Grande's data set (translated): Found along the road to Igoumenitsa the lifeless bodies of three boys suffocated, probably abandoned by a trucker direct to the port of Igoumenitsa to the ferries to Italy (Feb 8, 2012)"
starved,drowning or exhaustion related death,2012,7,"Landing on the island, the survivors tell of 7 passengers died of starvation during the journey, their bodies were abandoned at sea (May 8, 2012)"
lack of medical care,drowning or exhaustion related death,2012,1,"reportedly lack of medical help after asked for assistance in Barcelona s detention centre (E)  (Apr 30, 2012)"
car accident,"violent accidental death (transport, blown in minefield...)",2012,2,"died in car accident while trying to escape a FRONTEX control (Apr 28, 2012). From Del Grande's data set (translated): Tracking the border with Turkey, Lykofos. A car fleeing Frontex patrols loses control and crashes. The accident killed 3 people who were attempting to cross the border (Apr 29, 2012)"
starved,drowning or exhaustion related death,2012,10,"Drifting boat rescued off Lampedusa, the survivors tell of 10 passengers died of starvation during the journey and abandoned at sea (Apr 4, 2012)"
died from dehydration,drowning or exhaustion related death,2012,10,"died from dehydration on a rubber dinghy of 58 migrants during the voyage from Libya to I (Mar 30, 2012)"
frozen,drowning or exhaustion related death,2012,1,"died of hypothermia, body found in a warehouse in the area of Korinthia (GR) (Feb 28, 2012)"
frozen,drowning or exhaustion related death,2012,1,"died of hypothermia while trying to leave TR via Evros River, body found near Orestiada (GR) (Feb 20, 2012)"
asphyxiated,drowning or exhaustion related death,2012,1,"stowaway, suffocated in a truck into which he had hidden to avoid the border police checks (Feb 4, 2012). From Del Grande's data set (translated): Venice, found dead an Afghan boy hidden aboard a ferry line started from Greece (May 2, 2012)"
asphyxiated,drowning or exhaustion related death,2012,1,"stowaway, died of asphyxia found under a truck inside the ferry to Venice (I) from GR (Dec 6, 2012). From Del Grande's data set (translated): Found in a greek ferry to the port of Venice's lifeless body of a young man suffocated under the truck where he was hiding to embark at the port of Igoumenitsa (Jul 12, 2012)"
suicide - other,suicide,2012,1,"suicide, killed himself in the Netherlands in fear of being deported with his two children (Dec 3, 2012)"
run over by a truck,"violent accidental death (transport, blown in minefield...)",2012,1,"rolled over by the truck he tried to hide under to leave Greece, near the new port in Patras (Dec 2, 2012)"
frozen,drowning or exhaustion related death,2012,1,A woman was found dead in a field in Greece.
suicide,suicide,2012,1,Suicide in custody on warrant of deportation
suicide,suicide,2012,1,Detainee commits suicide in custody on warrant of deportation
died presumably  from ill treatments,malicious intent related death / manslaughter,2012,1,Ghanaian detainees put out a statement following the death that made a number of serious allegations about what happened to Prince Ofosu and about the poor treatment of others at the centre. They allege that guards at the centre restrained Prince while in the ‘block’ (segregation unit) and that he had been held in his cell without heating and naked.
starved,drowning or exhaustion related death,2012,54,"dehydration, dinghy adrift for 15 days on the way from LY to I, reached Tunisian coasts (Oct 6, 2012). From Del Grande's data set (translated): After 15 days adrift, is rescued off the Tunisian coast the sole survivor of a crew departed from Libya to Lampedusa. The other 54 passengers dead (Jul 10, 2012)"
frozen,drowning or exhaustion related death,2012,1,"died of hypothermia while trying to cross Evros River to enter GR, body found near Tichero (Oct 1, 2012)"
asphyxiated,drowning or exhaustion related death,2012,1,"died from smoke inhalation from fire lit in tin can to keep warm inside abandoned truck (GR) (Jan 31, 2012)"
frozen,drowning or exhaustion related death,2012,1,"died of hypothermia trying to cross Evros River (GR) with 14 migrants who were rescued (Jan 29, 2012). From Del Grande's data set (translated): One dead and six missing in the waters of the Evros River at the border between Turkey and Greece (Jan 30, 2012)"
suicide - hanged,suicide,2012,1,"suicide, hanged himself with a sheet in asylum seekers centre in Würzburg (D) (Jan 28, 2012)"
suicide - hanged,suicide,2012,1,"suicide, found hanged in asylum seekers house in Wurzburg (D), was in cure for depression (Jan 28, 2012)"
car accident,"violent accidental death (transport, blown in minefield...)",2012,5,"Were hidden in a truck headed to the place of embarkation for the Italian coast, while 5 have died in a road accident (Jan 28, 2012)"
shot by the police,authorities related death,2012,2,"A man and a woman killed by Egyptian border police gunfire to the border with Israel in Sinai (Jan 22, 2012)"
fall,"violent accidental death (transport, blown in minefield...)",2012,1,"fell from 5th floor escaping police controlling for noise at birthday party, was undocumented (Jan 9, 2012)"
asphyxiated,drowning or exhaustion related death,2012,1,"He died of asphyxiation a young Afghan hidden inside a truck in Patras, the port of embarkation of trucks traveling to Italy (Jan 4, 2012)"
suicide - other,suicide,2012,1,"suicide, killed himself a few hours before the delay given to him to leave Belgium was expired (Jan 1, 2012)"
burned,"violent accidental death (transport, blown in minefield...)",2011,4,"burned, fire caused by lit candle in Pantin squat, Paris (F) - a municipality owned building (Sep 27, 2011)"
asphyxiated,drowning or exhaustion related death,2011,2,"asphyxiation, fire started by lit candle in Pantin squat, Paris(F)- a municipality owned building (Sep 27, 2011)"
shot by the police,authorities related death,2011,1,"murdered, shot by Frontex officer while shooting at boats crossing TR-GR border,  Evros river (Aug 23, 2011)"
shot by the police,authorities related death,2011,2,"Two men killed at the border with Israel in Sinai, in the shooting of Egyptian border police (Aug 18, 2011)"
shot by the police,authorities related death,2011,1,"A 23 year-old killed by gunfire in the Sudanese Egyptian border police on the border with Israel in Sinai. According to HRW would be at least 87 people have been killed by Egyptian agents along this border since 2007 (Aug 12, 2011)"
