Year,Country / territory of asylum/residence,Origin,Population type,Value
1994,Bulgaria,Senegal,Refugees (incl. refugee-like situations),1
1994,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),156
1994,Bulgaria,Sierra Leone,Refugees (incl. refugee-like situations),1
1994,Bulgaria,Somalia,Refugees (incl. refugee-like situations),16
1994,Bulgaria,Sudan,Refugees (incl. refugee-like situations),3
1994,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),26
1994,Bulgaria,Tajikistan,Refugees (incl. refugee-like situations),3
1994,Bulgaria,Turkey,Refugees (incl. refugee-like situations),7
1994,Bulgaria,Various/Unknown,Refugees (incl. refugee-like situations),6
1994,Bulgaria,Yemen,Refugees (incl. refugee-like situations),5
1995,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),475
1995,Bulgaria,Algeria,Refugees (incl. refugee-like situations),39
1995,Bulgaria,Angola,Refugees (incl. refugee-like situations),2
1995,Bulgaria,Armenia,Refugees (incl. refugee-like situations),79
1995,Bulgaria,Azerbaijan,Refugees (incl. refugee-like situations),20
1995,Bulgaria,Bangladesh,Refugees (incl. refugee-like situations),15
1995,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),3
1995,Bulgaria,Chile,Returned refugees,3
1995,Bulgaria,Congo,Refugees (incl. refugee-like situations),1
1995,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),27
1995,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),77
1995,Bulgaria,Georgia,Refugees (incl. refugee-like situations),2
1995,Bulgaria,Guinea,Refugees (incl. refugee-like situations),3
1995,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),42
1995,Bulgaria,Iraq,Refugees (incl. refugee-like situations),71
1995,Bulgaria,Jordan,Refugees (incl. refugee-like situations),1
1995,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),9
1995,Bulgaria,Liberia,Refugees (incl. refugee-like situations),6
1995,Bulgaria,Lithuania,Refugees (incl. refugee-like situations),1
1995,Bulgaria,Mongolia,Refugees (incl. refugee-like situations),2
1995,Bulgaria,Nigeria,Refugees (incl. refugee-like situations),3
1995,Bulgaria,Pakistan,Refugees (incl. refugee-like situations),4
1995,Bulgaria,Rep. of Moldova,Refugees (incl. refugee-like situations),2
1995,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),3
1995,Bulgaria,Senegal,Refugees (incl. refugee-like situations),1
1995,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),259
1995,Bulgaria,Sierra Leone,Refugees (incl. refugee-like situations),1
1995,Bulgaria,Somalia,Refugees (incl. refugee-like situations),19
1995,Bulgaria,Stateless,Refugees (incl. refugee-like situations),75
1995,Bulgaria,Sudan,Refugees (incl. refugee-like situations),9
1995,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),31
1995,Bulgaria,Tajikistan,Refugees (incl. refugee-like situations),3
1995,Bulgaria,Turkey,Refugees (incl. refugee-like situations),30
1995,Bulgaria,Yemen,Refugees (incl. refugee-like situations),5
1996,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),542
1996,Bulgaria,Albania,Refugees (incl. refugee-like situations),5
1996,Bulgaria,Algeria,Refugees (incl. refugee-like situations),46
1996,Bulgaria,Angola,Refugees (incl. refugee-like situations),11
1996,Bulgaria,Armenia,Refugees (incl. refugee-like situations),79
1996,Bulgaria,Azerbaijan,Refugees (incl. refugee-like situations),20
1996,Bulgaria,Bangladesh,Refugees (incl. refugee-like situations),15
1996,Bulgaria,Bosnia and Herzegovina,Returned refugees,49
1996,Bulgaria,Burundi,Refugees (incl. refugee-like situations),3
1996,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),3
1996,Bulgaria,Congo,Refugees (incl. refugee-like situations),9
1996,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),30
1996,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),83
1996,Bulgaria,Ethiopia,Returned refugees,1
1996,Bulgaria,Georgia,Refugees (incl. refugee-like situations),2
1996,Bulgaria,Guinea,Refugees (incl. refugee-like situations),3
1996,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),54
1996,Bulgaria,Iraq,Refugees (incl. refugee-like situations),100
1996,Bulgaria,Jordan,Refugees (incl. refugee-like situations),22
1996,Bulgaria,Kenya,Refugees (incl. refugee-like situations),4
1996,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),13
1996,Bulgaria,Liberia,Refugees (incl. refugee-like situations),35
1996,Bulgaria,Lithuania,Refugees (incl. refugee-like situations),1
1996,Bulgaria,Mali,Refugees (incl. refugee-like situations),1
1996,Bulgaria,Mongolia,Refugees (incl. refugee-like situations),2
1996,Bulgaria,Nigeria,Refugees (incl. refugee-like situations),5
1996,Bulgaria,Pakistan,Refugees (incl. refugee-like situations),6
1996,Bulgaria,Rep. of Moldova,Refugees (incl. refugee-like situations),2
1996,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),11
1996,Bulgaria,Senegal,Refugees (incl. refugee-like situations),1
1996,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),81
1996,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Returned refugees,79
1996,Bulgaria,Sierra Leone,Refugees (incl. refugee-like situations),1
1996,Bulgaria,Somalia,Refugees (incl. refugee-like situations),23
1996,Bulgaria,Stateless,Refugees (incl. refugee-like situations),105
1996,Bulgaria,Stateless,Returned refugees,3
1996,Bulgaria,Sudan,Refugees (incl. refugee-like situations),20
1996,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),37
1996,Bulgaria,Tajikistan,Refugees (incl. refugee-like situations),3
1996,Bulgaria,Tunisia,Refugees (incl. refugee-like situations),3
1996,Bulgaria,Turkey,Refugees (incl. refugee-like situations),44
1996,Bulgaria,Yemen,Refugees (incl. refugee-like situations),5
1997,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),205
1997,Bulgaria,Algeria,Refugees (incl. refugee-like situations),9
1997,Bulgaria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),19
1997,Bulgaria,Bosnia and Herzegovina,Returned refugees,8
1997,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),1
1997,Bulgaria,Congo,Refugees (incl. refugee-like situations),2
1997,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),23
1997,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),24
1997,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),4
1997,Bulgaria,Iraq,Refugees (incl. refugee-like situations),17
1997,Bulgaria,Liberia,Refugees (incl. refugee-like situations),2
1997,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),2
1997,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),12
1997,Bulgaria,Somalia,Refugees (incl. refugee-like situations),9
1997,Bulgaria,Stateless,Refugees (incl. refugee-like situations),48
1997,Bulgaria,Sudan,Refugees (incl. refugee-like situations),11
1997,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
1997,Bulgaria,Turkey,Refugees (incl. refugee-like situations),1
1998,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),94
1998,Bulgaria,Algeria,Refugees (incl. refugee-like situations),6
1998,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),1
1998,Bulgaria,Congo,Refugees (incl. refugee-like situations),4
1998,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),4
1998,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),29
1998,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),3
1998,Bulgaria,Iraq,Refugees (incl. refugee-like situations),18
1998,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),4
1998,Bulgaria,Liberia,Refugees (incl. refugee-like situations),1
1998,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),1
1998,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),15
1998,Bulgaria,Somalia,Refugees (incl. refugee-like situations),8
1998,Bulgaria,Sudan,Refugees (incl. refugee-like situations),10
1998,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
1998,Bulgaria,Various/Unknown,Refugees (incl. refugee-like situations),41
1999,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),222
1999,Bulgaria,Algeria,Refugees (incl. refugee-like situations),8
1999,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),1
1999,Bulgaria,Congo,Refugees (incl. refugee-like situations),2
1999,Bulgaria,Congo,Returned refugees,1
1999,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),4
1999,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),38
1999,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),18
1999,Bulgaria,Iran (Islamic Rep. of),Returned refugees,1
1999,Bulgaria,Iraq,Refugees (incl. refugee-like situations),29
1999,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),4
1999,Bulgaria,Liberia,Refugees (incl. refugee-like situations),1
1999,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),2
1999,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),189
1999,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Returned refugees,14
1999,Bulgaria,Somalia,Refugees (incl. refugee-like situations),9
1999,Bulgaria,Sudan,Refugees (incl. refugee-like situations),14
1999,Bulgaria,Sudan,Returned refugees,1
1999,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
1999,Bulgaria,United Rep. of Tanzania,Refugees (incl. refugee-like situations),3
1999,Bulgaria,United Rep. of Tanzania,Returned refugees,3
1999,Bulgaria,Uzbekistan,Refugees (incl. refugee-like situations),1
1999,Bulgaria,Uzbekistan,Returned refugees,1
2000,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),786
2000,Bulgaria,Afghanistan,Asylum-seekers,428
2000,Bulgaria,Albania,Refugees (incl. refugee-like situations),5
2000,Bulgaria,Algeria,Refugees (incl. refugee-like situations),13
2000,Bulgaria,Algeria,Asylum-seekers,4
2000,Bulgaria,Angola,Refugees (incl. refugee-like situations),7
2000,Bulgaria,Armenia,Asylum-seekers,326
2000,Bulgaria,Azerbaijan,Asylum-seekers,18
2000,Bulgaria,Bahrain,Asylum-seekers,1
2000,Bulgaria,Belarus,Asylum-seekers,1
2000,Bulgaria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),35
2000,Bulgaria,Burundi,Refugees (incl. refugee-like situations),1
2000,Bulgaria,Burundi,Asylum-seekers,3
2000,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),3
2000,Bulgaria,Cameroon,Asylum-seekers,4
2000,Bulgaria,Colombia,Asylum-seekers,1
2000,Bulgaria,Congo,Refugees (incl. refugee-like situations),15
2000,Bulgaria,Cote d'Ivoire,Asylum-seekers,2
2000,Bulgaria,Cuba,Asylum-seekers,3
2000,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),25
2000,Bulgaria,Dem. Rep. of the Congo,Asylum-seekers,18
2000,Bulgaria,Egypt,Asylum-seekers,1
2000,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),48
2000,Bulgaria,Ethiopia,Returned refugees,1
2000,Bulgaria,Gambia,Asylum-seekers,2
2000,Bulgaria,Georgia,Asylum-seekers,6
2000,Bulgaria,Guinea,Asylum-seekers,4
2000,Bulgaria,India,Asylum-seekers,3
2000,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),61
2000,Bulgaria,Iran (Islamic Rep. of),Asylum-seekers,49
2000,Bulgaria,Iraq,Refugees (incl. refugee-like situations),102
2000,Bulgaria,Iraq,Asylum-seekers,225
2000,Bulgaria,Jordan,Asylum-seekers,2
2000,Bulgaria,Kazakhstan,Asylum-seekers,1
2000,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),8
2000,Bulgaria,Lebanon,Asylum-seekers,27
2000,Bulgaria,Liberia,Refugees (incl. refugee-like situations),5
2000,Bulgaria,Libya,Asylum-seekers,1
2000,Bulgaria,Lithuania,Asylum-seekers,1
2000,Bulgaria,Malaysia,Asylum-seekers,1
2000,Bulgaria,Mali,Refugees (incl. refugee-like situations),1
2000,Bulgaria,Mongolia,Asylum-seekers,2
2000,Bulgaria,Nigeria,Refugees (incl. refugee-like situations),1
2000,Bulgaria,Pakistan,Asylum-seekers,34
2000,Bulgaria,Peru,Asylum-seekers,5
2000,Bulgaria,Rep. of Moldova,Asylum-seekers,4
2000,Bulgaria,Russian Federation,Asylum-seekers,12
2000,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),2
2000,Bulgaria,Rwanda,Returned refugees,1
2000,Bulgaria,Senegal,Refugees (incl. refugee-like situations),1
2000,Bulgaria,Senegal,Asylum-seekers,1
2000,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),110
2000,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,22
2000,Bulgaria,Sierra Leone,Refugees (incl. refugee-like situations),11
2000,Bulgaria,Sierra Leone,Asylum-seekers,4
2000,Bulgaria,Somalia,Refugees (incl. refugee-like situations),16
2000,Bulgaria,Somalia,Asylum-seekers,2
2000,Bulgaria,Sri Lanka,Asylum-seekers,16
2000,Bulgaria,Stateless,Refugees (incl. refugee-like situations),141
2000,Bulgaria,Stateless,Asylum-seekers,22
2000,Bulgaria,Sudan,Refugees (incl. refugee-like situations),20
2000,Bulgaria,Sudan,Returned refugees,1
2000,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),11
2000,Bulgaria,Syrian Arab Rep.,Asylum-seekers,25
2000,Bulgaria,Tajikistan,Asylum-seekers,2
2000,Bulgaria,Tunisia,Refugees (incl. refugee-like situations),6
2000,Bulgaria,Tunisia,Asylum-seekers,1
2000,Bulgaria,Turkey,Refugees (incl. refugee-like situations),35
2000,Bulgaria,Turkey,Asylum-seekers,26
2000,Bulgaria,Ukraine,Asylum-seekers,1
2000,Bulgaria,United Rep. of Tanzania,Refugees (incl. refugee-like situations),3
2000,Bulgaria,Yemen,Refugees (incl. refugee-like situations),1
2000,Bulgaria,Yemen,Asylum-seekers,5
2000,Bulgaria,Zambia,Refugees (incl. refugee-like situations),1
2001,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),1565
2001,Bulgaria,Afghanistan,Asylum-seekers,623
2001,Bulgaria,Albania,Refugees (incl. refugee-like situations),7
2001,Bulgaria,Albania,Asylum-seekers,4
2001,Bulgaria,Algeria,Refugees (incl. refugee-like situations),22
2001,Bulgaria,Angola,Refugees (incl. refugee-like situations),7
2001,Bulgaria,Armenia,Asylum-seekers,78
2001,Bulgaria,Azerbaijan,Refugees (incl. refugee-like situations),2
2001,Bulgaria,Azerbaijan,Asylum-seekers,17
2001,Bulgaria,Bahrain,Asylum-seekers,1
2001,Bulgaria,Bangladesh,Refugees (incl. refugee-like situations),1
2001,Bulgaria,Benin,Refugees (incl. refugee-like situations),1
2001,Bulgaria,Benin,Asylum-seekers,1
2001,Bulgaria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),35
2001,Bulgaria,Burundi,Refugees (incl. refugee-like situations),2
2001,Bulgaria,Burundi,Asylum-seekers,2
2001,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),4
2001,Bulgaria,Cameroon,Asylum-seekers,2
2001,Bulgaria,"China, Macao SAR",Refugees (incl. refugee-like situations),2
2001,Bulgaria,Colombia,Asylum-seekers,1
2001,Bulgaria,Congo,Refugees (incl. refugee-like situations),20
2001,Bulgaria,Cuba,Refugees (incl. refugee-like situations),1
2001,Bulgaria,Cuba,Asylum-seekers,2
2001,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),26
2001,Bulgaria,Dem. Rep. of the Congo,Asylum-seekers,18
2001,Bulgaria,Egypt,Refugees (incl. refugee-like situations),1
2001,Bulgaria,Eritrea,Refugees (incl. refugee-like situations),5
2001,Bulgaria,Eritrea,Asylum-seekers,3
2001,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),56
2001,Bulgaria,Ethiopia,Asylum-seekers,2
2001,Bulgaria,Ethiopia,Returned refugees,1
2001,Bulgaria,Gambia,Asylum-seekers,2
2001,Bulgaria,Georgia,Refugees (incl. refugee-like situations),1
2001,Bulgaria,Ghana,Asylum-seekers,3
2001,Bulgaria,Guinea,Asylum-seekers,4
2001,Bulgaria,India,Refugees (incl. refugee-like situations),1
2001,Bulgaria,India,Asylum-seekers,3
2001,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),148
2001,Bulgaria,Iran (Islamic Rep. of),Asylum-seekers,69
2001,Bulgaria,Iran (Islamic Rep. of),Returned refugees,1
2001,Bulgaria,Iraq,Refugees (incl. refugee-like situations),508
2001,Bulgaria,Iraq,Asylum-seekers,521
2001,Bulgaria,Jordan,Refugees (incl. refugee-like situations),2
2001,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),25
2001,Bulgaria,Lebanon,Asylum-seekers,7
2001,Bulgaria,Liberia,Refugees (incl. refugee-like situations),9
2001,Bulgaria,Lithuania,Asylum-seekers,1
2001,Bulgaria,Malaysia,Asylum-seekers,1
2001,Bulgaria,Mali,Refugees (incl. refugee-like situations),1
2001,Bulgaria,Mauritania,Asylum-seekers,1
2001,Bulgaria,Mongolia,Asylum-seekers,2
2001,Bulgaria,Nigeria,Asylum-seekers,18
2001,Bulgaria,Nigeria,Returned refugees,1
2001,Bulgaria,Pakistan,Asylum-seekers,27
2001,Bulgaria,Pakistan,Returned refugees,1
2001,Bulgaria,Peru,Asylum-seekers,5
2001,Bulgaria,Rep. of Moldova,Asylum-seekers,4
2001,Bulgaria,Russian Federation,Refugees (incl. refugee-like situations),2
2001,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),2
2001,Bulgaria,Senegal,Refugees (incl. refugee-like situations),1
2001,Bulgaria,Senegal,Asylum-seekers,1
2001,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),119
2001,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,18
2001,Bulgaria,Sierra Leone,Refugees (incl. refugee-like situations),12
2001,Bulgaria,Sierra Leone,Asylum-seekers,20
2001,Bulgaria,Somalia,Refugees (incl. refugee-like situations),30
2001,Bulgaria,Sri Lanka,Refugees (incl. refugee-like situations),2
2001,Bulgaria,Sri Lanka,Asylum-seekers,15
2001,Bulgaria,Stateless,Refugees (incl. refugee-like situations),183
2001,Bulgaria,Stateless,Asylum-seekers,13
2001,Bulgaria,Sudan,Refugees (incl. refugee-like situations),66
2001,Bulgaria,Sudan,Asylum-seekers,20
2001,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),58
2001,Bulgaria,Tajikistan,Asylum-seekers,2
2001,Bulgaria,Togo,Asylum-seekers,1
2001,Bulgaria,Tunisia,Refugees (incl. refugee-like situations),8
2001,Bulgaria,Turkey,Refugees (incl. refugee-like situations),60
2001,Bulgaria,Turkey,Asylum-seekers,30
2001,Bulgaria,Turkmenistan,Refugees (incl. refugee-like situations),1
2001,Bulgaria,United Rep. of Tanzania,Refugees (incl. refugee-like situations),4
2001,Bulgaria,Yemen,Refugees (incl. refugee-like situations),3
2001,Bulgaria,Yemen,Asylum-seekers,3
2001,Bulgaria,Zambia,Refugees (incl. refugee-like situations),1
2002,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),1733
2002,Bulgaria,Afghanistan,Asylum-seekers,357
2002,Bulgaria,Albania,Refugees (incl. refugee-like situations),9
2002,Bulgaria,Albania,Asylum-seekers,5
2002,Bulgaria,Algeria,Refugees (incl. refugee-like situations),21
2002,Bulgaria,Angola,Refugees (incl. refugee-like situations),4
2002,Bulgaria,Armenia,Asylum-seekers,7
2002,Bulgaria,Azerbaijan,Refugees (incl. refugee-like situations),2
2002,Bulgaria,Azerbaijan,Asylum-seekers,17
2002,Bulgaria,Bahrain,Asylum-seekers,1
2002,Bulgaria,Bangladesh,Refugees (incl. refugee-like situations),7
2002,Bulgaria,Benin,Refugees (incl. refugee-like situations),1
2002,Bulgaria,Benin,Asylum-seekers,1
2002,Bulgaria,Bosnia and Herzegovina,Refugees (incl. refugee-like situations),35
2002,Bulgaria,Burundi,Refugees (incl. refugee-like situations),2
2002,Bulgaria,Burundi,Asylum-seekers,2
2002,Bulgaria,Cameroon,Refugees (incl. refugee-like situations),4
2002,Bulgaria,Cameroon,Asylum-seekers,2
2002,Bulgaria,Colombia,Asylum-seekers,1
2002,Bulgaria,Congo,Refugees (incl. refugee-like situations),20
2002,Bulgaria,Cuba,Refugees (incl. refugee-like situations),1
2002,Bulgaria,Cuba,Asylum-seekers,2
2002,Bulgaria,Dem. Rep. of the Congo,Refugees (incl. refugee-like situations),30
2002,Bulgaria,Dem. Rep. of the Congo,Asylum-seekers,17
2002,Bulgaria,Egypt,Refugees (incl. refugee-like situations),1
2002,Bulgaria,Egypt,Asylum-seekers,2
2002,Bulgaria,Eritrea,Refugees (incl. refugee-like situations),7
2002,Bulgaria,Eritrea,Asylum-seekers,1
2002,Bulgaria,Ethiopia,Refugees (incl. refugee-like situations),57
2002,Bulgaria,Gambia,Asylum-seekers,2
2002,Bulgaria,Georgia,Refugees (incl. refugee-like situations),1
2002,Bulgaria,Ghana,Refugees (incl. refugee-like situations),1
2002,Bulgaria,Guinea,Asylum-seekers,5
2002,Bulgaria,India,Refugees (incl. refugee-like situations),1
2002,Bulgaria,India,Asylum-seekers,3
2002,Bulgaria,Iran (Islamic Rep. of),Refugees (incl. refugee-like situations),170
2002,Bulgaria,Iran (Islamic Rep. of),Asylum-seekers,36
2002,Bulgaria,Iraq,Refugees (incl. refugee-like situations),837
2002,Bulgaria,Iraq,Asylum-seekers,522
2002,Bulgaria,Jordan,Refugees (incl. refugee-like situations),2
2002,Bulgaria,Lebanon,Refugees (incl. refugee-like situations),22
2002,Bulgaria,Lebanon,Asylum-seekers,6
2002,Bulgaria,Liberia,Refugees (incl. refugee-like situations),9
2002,Bulgaria,Lithuania,Asylum-seekers,1
2002,Bulgaria,Malaysia,Asylum-seekers,1
2002,Bulgaria,Mali,Refugees (incl. refugee-like situations),1
2002,Bulgaria,Mauritania,Asylum-seekers,1
2002,Bulgaria,Mongolia,Asylum-seekers,2
2002,Bulgaria,Nigeria,Asylum-seekers,27
2002,Bulgaria,Pakistan,Asylum-seekers,29
2002,Bulgaria,Rep. of Moldova,Asylum-seekers,9
2002,Bulgaria,Russian Federation,Refugees (incl. refugee-like situations),2
2002,Bulgaria,Rwanda,Refugees (incl. refugee-like situations),2
2002,Bulgaria,Senegal,Refugees (incl. refugee-like situations),1
2002,Bulgaria,Senegal,Asylum-seekers,1
2002,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Refugees (incl. refugee-like situations),118
2002,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Asylum-seekers,18
2002,Bulgaria,Serbia and Kosovo (S/RES/1244 (1999)),Returned refugees,5
2002,Bulgaria,Sierra Leone,Refugees (incl. refugee-like situations),12
2002,Bulgaria,Sierra Leone,Asylum-seekers,10
2002,Bulgaria,Somalia,Refugees (incl. refugee-like situations),46
2002,Bulgaria,Sri Lanka,Refugees (incl. refugee-like situations),2
2002,Bulgaria,Sri Lanka,Asylum-seekers,14
2002,Bulgaria,Stateless,Refugees (incl. refugee-like situations),184
2002,Bulgaria,Stateless,Asylum-seekers,14
2002,Bulgaria,Sudan,Refugees (incl. refugee-like situations),158
2002,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),61
2002,Bulgaria,Tajikistan,Asylum-seekers,2
2002,Bulgaria,Tunisia,Refugees (incl. refugee-like situations),8
2002,Bulgaria,Tunisia,Asylum-seekers,1
2002,Bulgaria,Turkey,Refugees (incl. refugee-like situations),78
2002,Bulgaria,Turkey,Asylum-seekers,15
2002,Bulgaria,Turkmenistan,Refugees (incl. refugee-like situations),1
2002,Bulgaria,Turkmenistan,Asylum-seekers,1
2002,Bulgaria,United Rep. of Tanzania,Refugees (incl. refugee-like situations),3
2002,Bulgaria,Viet Nam,Asylum-seekers,1
2002,Bulgaria,Yemen,Refugees (incl. refugee-like situations),3
2002,Bulgaria,Yemen,Asylum-seekers,3
2002,Bulgaria,Zambia,Refugees (incl. refugee-like situations),1
2002,Bulgaria,Zimbabwe,Asylum-seekers,1
2003,Bulgaria,Afghanistan,Refugees (incl. refugee-like situations),1829
2003,Bulgaria,Afghanistan,Asylum-seekers,332
2003,Bulgaria,Afghanistan,Returned refugees,7
