NCT Number,Title,Status,Conditions,Gender,Age,Phases,Enrollment,Study Type,Start Date,Completion Date,URL,clean_age,min_age,age_groups
NCT02697721,Powerful Tools for Caregivers of Dementia Patients,Completed,Caregivers|Dementia|Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,60,Interventional,February 2016,February 2019,https://ClinicalTrials.gov/show/NCT02697721,18 Years and older ,18,up to 18 years old
NCT01901263,Patients With Behavioural Symptoms and Hospitalized in Cognitive and Behavioural Units,Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,306,Observational,October 2012,October 2015,https://ClinicalTrials.gov/show/NCT01901263,18 Years and older ,18,up to 18 years old
NCT01982578,Genistein as a Possible Treatment for Alzheimer's Disease.,Recruiting,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,50,Interventional,"September 1, 2017","December 31, 2020",https://ClinicalTrials.gov/show/NCT01982578,18 Years and older ,18,up to 18 years old
NCT01128725,"Truncated and Extended Forms of Amyloid Beta Peptides in Alzheimer's Disease: Genesis, Toxicity and Identification as Biological Markers",Unknown status,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,100,Interventional,September 2010,December 2012,https://ClinicalTrials.gov/show/NCT01128725,18 Years and older ,18,up to 18 years old
NCT03687710,The Comparative Effectiveness Dementia & Alzheimer's Registry,"Active, not recruiting",Alzheimer Disease|Mild Cognitive Impairment,All,"18 Years and older   (Adult, Older Adult)",Phase 4,1000,Observational,"February 16, 2015","June 30, 2026",https://ClinicalTrials.gov/show/NCT03687710,18 Years and older ,18,up to 18 years old
NCT03444181,"ALzheimer and MUsic THerapy: Effects of Music Lessons on Brain Plasticity, Mood, and Quality of Life in Alzheimer Patients",Recruiting,Alzheimer Disease|Mild Cognitive Impairment|MCI With Increased Risk for Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,135,Interventional,"April 11, 2018","June 30, 2020",https://ClinicalTrials.gov/show/NCT03444181,18 Years and older ,18,up to 18 years old
NCT03019757,"Distinguishing Between Alzheimer's Disease, Lewy Body Dementia, and Parkinson's Disease",Recruiting,Alzheimer's Disease|Lewy Body Dementia|Parkinson's Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,76,Observational,"August 30, 2018",December 2020,https://ClinicalTrials.gov/show/NCT03019757,18 Years and older ,18,up to 18 years old
NCT00291161,Partners in Dementia Care: A Telephone Care Consultation Intervention Provided to Veterans in Partnership With Local Alzheimer's Association Chapters,Completed,Dementia|Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,994,Interventional,December 2006,February 2011,https://ClinicalTrials.gov/show/NCT00291161,18 Years and older ,18,up to 18 years old
NCT03288363,Transcranial Direct Current Stimulation and Early Alzheimer's Disease (tDCS-AD),Recruiting,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,80,Interventional,"June 6, 2017","December 6, 2021",https://ClinicalTrials.gov/show/NCT03288363,18 Years and older ,18,up to 18 years old
NCT00585572,Wisconsin Brain Donor Program,Enrolling by invitation,Alzheimer's Disease|Mild Cognitive Impairment,All,"18 Years and older   (Adult, Older Adult)",Phase 4,500,Observational,March 2007,October 2019,https://ClinicalTrials.gov/show/NCT00585572,18 Years and older ,18,up to 18 years old
NCT02576821,Hippocampal Sclerosis and Amnesia Not Due to Alzheimer's Disease,Recruiting,Patients With Cognitive Disturbances,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,140,Interventional,"January 27, 2016",October 2020,https://ClinicalTrials.gov/show/NCT02576821,18 Years and older ,18,up to 18 years old
NCT00908492,Supporting Caregivers of Persons With Dementia: A Pilot Study,Completed,Alzheimer Disease|Dementia,All,"18 Years and older   (Adult, Older Adult)",Phase 2|Phase 3,38,Interventional,November 2009,September 2011,https://ClinicalTrials.gov/show/NCT00908492,18 Years and older ,18,up to 18 years old
NCT01652222,"Experimental Study to Validate the ""Therapeutic Game"" CONEM-BETA",Completed,Alzheimer's Disease|Dementia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,101,Interventional,January 2012,August 2012,https://ClinicalTrials.gov/show/NCT01652222,18 Years and older ,18,up to 18 years old
NCT02690896,Caregiver Burden and Depression: Caring for Those Who Care for Others,Recruiting,Dementia|Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,100,Interventional,"February 24, 2016",August 2020,https://ClinicalTrials.gov/show/NCT02690896,18 Years and older ,18,up to 18 years old
NCT02299154,Memory Problems Perceptions Among Patients and Accompaniers During Diagnosis Process :,Unknown status,Memory Disorders|Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,250,Interventional,December 2014,November 2017,https://ClinicalTrials.gov/show/NCT02299154,18 Years and older ,18,up to 18 years old
NCT04058886,Telephone-delivered Mindfulness Intervention for African American Dementia Caregivers,Not yet recruiting,Alzheimer Dementia|Caregiver|Dementia Alzheimers,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,32,Interventional,September 2019,December 2021,https://ClinicalTrials.gov/show/NCT04058886,18 Years and older ,18,up to 18 years old
NCT01554202,Multi-modal Neuroimaging in Alzheimer's Disease,"Active, not recruiting",Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,295,Interventional,January 2008,,https://ClinicalTrials.gov/show/NCT01554202,18 Years and older ,18,up to 18 years old
NCT03144921,EPIC: An Intervention for Early-stage AD Dyads,Recruiting,Dementia|Alzheimer Disease|Memory Loss,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,320,Interventional,"October 9, 2017",May 2021,https://ClinicalTrials.gov/show/NCT03144921,18 Years and older ,18,up to 18 years old
NCT03923517,RHAPSODY-plus: Online Counseling for Family Caregivers of Patients With Young Onset Dementia,Completed,Early Onset Alzheimer Disease|Frontotemporal Dementia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,20,Interventional,"January 1, 2018","May 30, 2019",https://ClinicalTrials.gov/show/NCT03923517,18 Years and older ,18,up to 18 years old
NCT01209156,Evaluation of [18F] PBR111 and PET as a Marker of Inflammation in Subjects With Neurological Conditions,Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,11,Interventional,March 2010,June 2013,https://ClinicalTrials.gov/show/NCT01209156,18 Years and older ,18,up to 18 years old
NCT02951559,SOLFAMU Study of Nasal Brushing Collected OLFActory MUcosa Samples in the Diagnosis of Human Encephalopathies,Recruiting,Encephalopathy|HIV-encephalopathy|Alzheimer Dementia,All,"18 Years and older   (Adult, Older Adult)",Phase 4,250,Interventional,March 2016,February 2021,https://ClinicalTrials.gov/show/NCT02951559,18 Years and older ,18,up to 18 years old
NCT01723553,Amyloid-related Imaging Abnormalities (Microbleeds) in Atypical AD,Completed,Atypical Alzheimers Disease|Logopenic Variant of Primary Progressive Aphasia (LPA)|Posterior Cortical Atrophy (PCA),All,"18 Years and older   (Adult, Older Adult)",Phase 1,27,Interventional,November 2012,March 2015,https://ClinicalTrials.gov/show/NCT01723553,18 Years and older ,18,up to 18 years old
NCT03119259,iCare-AD: A Mobile Health Application for Caregivers of Patients With Dementia.,Not yet recruiting,"Dementia, Alzheimer Type",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,448,Interventional,July 2019,"July 1, 2023",https://ClinicalTrials.gov/show/NCT03119259,18 Years and older ,18,up to 18 years old
NCT00479219,Study Evaluating GSI-953 in Healthy Young and Alzheimer's Patients,Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,17,Interventional,May 2007,October 2007,https://ClinicalTrials.gov/show/NCT00479219,18 Years and older ,18,up to 18 years old
NCT03828383,In-Home Technology for Dementia Caregivers,Recruiting,Dementia|Alzheimer's Disease|Frontotemporal Dementia,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,80,Interventional,"February 26, 2019",February 2021,https://ClinicalTrials.gov/show/NCT03828383,18 Years and older ,18,up to 18 years old
NCT00795730,Multiple Dose Study Evaluating the Safety and Tolerability of NSA-789,Terminated,Alzheimer Disease|Healthy Subjects,All,"18 Years and older   (Adult, Older Adult)",Phase 1,56,Interventional,January 2009,June 2009,https://ClinicalTrials.gov/show/NCT00795730,18 Years and older ,18,up to 18 years old
NCT03342326,Lexical Priming by Music in Alzheimer's Disease and Healthy Aging,Recruiting,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,78,Interventional,"April 3, 2018",February 2020,https://ClinicalTrials.gov/show/NCT03342326,18 Years and older ,18,up to 18 years old
NCT01926249,A Cohort of Outpatients From French Research Memory Centers in Order to Improve Knowledge on Alzheimer's Disease and Related Disorders,"Active, not recruiting",Alzheimer's Disease (AD) and Related Disorders,All,"18 Years and older   (Adult, Older Adult)",Phase 4,2300,Observational,"April 8, 2011",October 2019,https://ClinicalTrials.gov/show/NCT01926249,18 Years and older ,18,up to 18 years old
NCT03715855,Demonstrating the Diagnostic Power of an Electronic Nose: Study on Exhaled Air Samples,Not yet recruiting,Alzheimer Disease|Gastric Cancer|Urologic Cancer|Pneumological Cancer,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,250,Interventional,October 2018,October 2020,https://ClinicalTrials.gov/show/NCT03715855,18 Years and older ,18,up to 18 years old
NCT03721042,Demonstrating the Diagnostic Power of an Electronic Nose: Study on Exhaled Air Samples,Not yet recruiting,Alzheimer Disease|Gastric Cancer|Urologic Cancer|Pneumological Cancer,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,250,Interventional,October 2018,October 2020,https://ClinicalTrials.gov/show/NCT03721042,18 Years and older ,18,up to 18 years old
NCT00001178,Brain Study of Patients With Frontal Lobe Dementia and Parkinsonian Disorders,Terminated,Alzheimer's Disease|Dementia|Down's Syndrome,All,"18 Years and older   (Adult, Older Adult)",Phase 4,597,Observational,"January 19, 1981","December 17, 2012",https://ClinicalTrials.gov/show/NCT00001178,18 Years and older ,18,up to 18 years old
NCT03031184,Study of Mirtazapine for Agitation in Dementia,Recruiting,Dementia,All,"18 Years and older   (Adult, Older Adult)",Phase 3,222,Interventional,January 2017,July 2020,https://ClinicalTrials.gov/show/NCT03031184,18 Years and older ,18,up to 18 years old
NCT01028209,Evaluation of [18F] PBR06 and PET as a Marker of Inflammation in Subjects With Neurological Conditions,Terminated,Alzheimer Disease|Parkinson Disease|Multiple Sclerosis,All,"18 Years and older   (Adult, Older Adult)",Phase 1,12,Interventional,November 2009,"September 22, 2010",https://ClinicalTrials.gov/show/NCT01028209,18 Years and older ,18,up to 18 years old
NCT01518374,Clinical Evaluation of Florbetapir F 18 (18F-AV-45),Completed,Alzheimer Disease|Mild Cognitive Impairment|Neurodegenerative Diseases,All,"18 Years and older   (Adult, Older Adult)",Phase 2,1768,Interventional,December 2009,"May 3, 2017",https://ClinicalTrials.gov/show/NCT01518374,18 Years and older ,18,up to 18 years old
NCT01550549,Evaluation of Web-based Training to Educate Physicians in the Methods of Interpreting Florbetapir-PET Scans,Completed,Alzheimer Disease|Mild Cognitive Impairment|Neurodegenerative Diseases,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,151,Interventional,August 2011,September 2011,https://ClinicalTrials.gov/show/NCT01550549,18 Years and older ,18,up to 18 years old
NCT02278367,Clinical Evaluation of 18F-AV-1451,Recruiting,Alzheimer's Disease|Traumatic Brain Injury|Depression,All,"18 Years and older   (Adult, Older Adult)",Phase 2,250,Interventional,December 2014,April 2019,https://ClinicalTrials.gov/show/NCT02278367,18 Years and older ,18,up to 18 years old
NCT02108769,Yogic Breathing Changes Salivary Components,Completed,Alzheimer Disease|Neurodegenerative Diseases|Cancer,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,20,Interventional,October 2013,November 2013,https://ClinicalTrials.gov/show/NCT02108769,18 Years and older ,18,up to 18 years old
NCT01190800,Capacity Assessment in Persons With Alzheimer's Disease,Completed,Alzheimer's Disease|Capacity to Consent to Treatment|Capacity to Vote|Capacity to Design a Proxy,All,"18 Years and older   (Adult, Older Adult)",Phase 4,400,Observational,June 2010,September 2014,https://ClinicalTrials.gov/show/NCT01190800,18 Years and older ,18,up to 18 years old
NCT00970333,Evaluation of [18F] FEPPA and PET Imaging as a Marker of Inflammation in Subjects With Neurological Conditions,Completed,Alzheimer Disease|Parkinson Disease|Multiple Sclerosis,All,"18 Years and older   (Adult, Older Adult)",Phase 1,3,Interventional,August 2009,October 2010,https://ClinicalTrials.gov/show/NCT00970333,18 Years and older ,18,up to 18 years old
NCT00654563,Memory Disorders Registry,Completed,Dementia|Alzheimer's Disease|Parkinson Disease|Huntington Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,12,Observational,August 2007,March 2012,https://ClinicalTrials.gov/show/NCT00654563,18 Years and older ,18,up to 18 years old
NCT02612376,Rocky Mountain Alzheimer's Disease Center Longitudinal Biomarker and Clinical Phenotyping Study,Recruiting,Alzheimer Disease|Down Syndrome|Mild Cognitive Impairment,All,"18 Years and older   (Adult, Older Adult)",Phase 4,800,Observational,February 2016,December 2030,https://ClinicalTrials.gov/show/NCT02612376,18 Years and older ,18,up to 18 years old
NCT02205424,Cognition And Neocortical Volume After Stroke,"Active, not recruiting",Ischaemic Stroke|Alzheimer's Disease|Vascular Dementia,All,"18 Years and older   (Adult, Older Adult)",Phase 4,175,Observational,May 2011,December 2020,https://ClinicalTrials.gov/show/NCT02205424,18 Years and older ,18,up to 18 years old
NCT03047694,A Lexico-semantic Program on Tactile Tablet for Patients With Alzheimer's Disease,Recruiting,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,72,Interventional,"July 15, 2019",July 2022,https://ClinicalTrials.gov/show/NCT03047694,18 Years and older ,18,up to 18 years old
NCT02063308,Oxaloacetate Pharmacokinetics and Safety,Completed,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,6,Interventional,February 2014,June 2014,https://ClinicalTrials.gov/show/NCT02063308,18 Years and older ,18,up to 18 years old
NCT04099823,MR Evaluation of Cerebrospinal Fluid (CSF) Dynamics,Recruiting,Hydrocephalus|Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,50,Interventional,October 2019,October 2020,https://ClinicalTrials.gov/show/NCT04099823,18 Years and older ,18,up to 18 years old
NCT00857415,Phase III Study of the Correlation Between Florbetapir F18 PET Imaging and Amyloid Pathology in the Brain,Completed,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 3,226,Interventional,December 2008,May 2010,https://ClinicalTrials.gov/show/NCT00857415,18 Years and older ,18,up to 18 years old
NCT04077450,HRVB on Alzheimer's Disease Caregivers,Recruiting,"Burnout, Caregiver|Quality of Life",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,20,Interventional,"January 28, 2019","January 27, 2020",https://ClinicalTrials.gov/show/NCT04077450,18 Years and older ,18,up to 18 years old
NCT01819714,Sensory Support Care for Elderly Patients Suffering From Alzheimer'S-type Neurodegenerative Disease,Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,31,Interventional,June 2013,February 2015,https://ClinicalTrials.gov/show/NCT01819714,18 Years and older ,18,up to 18 years old
NCT00362284,Comprehensive Support for Alzheimer's Disease Caregivers,Completed,Caregivers|Stress|Depression,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,161,Interventional,September 2005,January 2012,https://ClinicalTrials.gov/show/NCT00362284,18 Years and older ,18,up to 18 years old
NCT02968719,"A Phase 1, Corplex™ Donepezil Transdermal System Compared to Oral Aricept®",Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,107,Interventional,November 2016,"July 11, 2017",https://ClinicalTrials.gov/show/NCT02968719,18 Years and older ,18,up to 18 years old
NCT02414178,F 18 T807 Tau PET Imaging in Dominantly Inherited Alzheimer's Network (DIAN Project),Recruiting,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 2,130,Interventional,"March 20, 2019",September 2020,https://ClinicalTrials.gov/show/NCT02414178,18 Years and older ,18,up to 18 years old
NCT00366288,Study Evaluating PAZ-417 in Healthy Young/Elderly,Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,56,Observational,July 2006,March 2008,https://ClinicalTrials.gov/show/NCT00366288,18 Years and older ,18,up to 18 years old
NCT01745198,Effect of Cerefolin®/CerefolinNAC® on Biomarker Measurements,Completed,Mild Cognitive Impairment|Alzheimer's Disease|Alzheimer's Disease Related Disorders,All,"18 Years and older   (Adult, Older Adult)",Phase 4,121,Observational,December 2012,June 2014,https://ClinicalTrials.gov/show/NCT01745198,18 Years and older ,18,up to 18 years old
NCT00474552,"Study Evaluating the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of SAM-315",Terminated,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,56,Interventional,June 2007,October 2007,https://ClinicalTrials.gov/show/NCT00474552,18 Years and older ,18,up to 18 years old
NCT00480818,"Study Evaluating the Safety, Pharmacokinetics, and Pharmacodynamics of SAM-531 in Healthy Young and Elderly Subjects",Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,80,Interventional,September 2006,July 2007,https://ClinicalTrials.gov/show/NCT00480818,18 Years and older ,18,up to 18 years old
NCT02418806,Group Therapy for Caregivers of Alzheimer's Disease Patients in Spanish Elderly Persons Centres,Completed,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,231,Interventional,January 2014,September 2015,https://ClinicalTrials.gov/show/NCT02418806,18 Years and older ,18,up to 18 years old
NCT01837641,A Study of LY3002813 in Participants With Alzheimer's Disease,Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,100,Interventional,"May 3, 2013","August 24, 2016",https://ClinicalTrials.gov/show/NCT01837641,18 Years and older ,18,up to 18 years old
NCT02563483,Yoga for Family Caregivers of Alzheimers Disease Patient,Completed,Stress|Anxiety|Compassion,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,46,Interventional,September 2007,November 2009,https://ClinicalTrials.gov/show/NCT02563483,18 Years and older ,18,up to 18 years old
NCT01640275,Markers of Alzheimers Disease After Propofol or Isoflurane Anesthesia,Completed,General Anesthesia,All,"18 Years and older   (Adult, Older Adult)",Phase 1,105,Interventional,March 2012,March 2015,https://ClinicalTrials.gov/show/NCT01640275,18 Years and older ,18,up to 18 years old
NCT02362880,Study of Genetic Alzheimer's Disease Mutation Carriers in Preclinical Stages of the Disease 18F-Florbetaben Positron Emission Tomography Study,Recruiting,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,40,Interventional,February 2015,January 2019,https://ClinicalTrials.gov/show/NCT02362880,18 Years and older ,18,up to 18 years old
NCT02506374,Development of Therapeutic Intervention for Sleep in Alzheimer/Caregiver Dyads,Withdrawn,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,0,Observational,November 2014,January 2016,https://ClinicalTrials.gov/show/NCT02506374,18 Years and older ,18,up to 18 years old
NCT00718731,Study GSI-136 in Healthy Young and Healthy Elderly Subjects,Completed,Alzheimer Disease|Healthy,All,"18 Years and older   (Adult, Older Adult)",Phase 1,80,Interventional,March 2008,August 2008,https://ClinicalTrials.gov/show/NCT00718731,18 Years and older ,18,up to 18 years old
NCT00089882,Risk Evaluation and Education for Alzheimer's Disease (REVEAL) II,Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,360,Observational,May 2003,September 2006,https://ClinicalTrials.gov/show/NCT00089882,18 Years and older ,18,up to 18 years old
NCT01079819,"Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of BMS-708163",Completed,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,32,Interventional,April 2010,December 2010,https://ClinicalTrials.gov/show/NCT01079819,18 Years and older ,18,up to 18 years old
NCT01181921,The CIRCADIAN Study: Evaluation of Modulating Effect of Galantamine on Circadian Rhythm in Patients With Mild to Moderate Alzheimer's Disease,Terminated,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,1,Interventional,May 2011,June 2011,https://ClinicalTrials.gov/show/NCT01181921,18 Years and older ,18,up to 18 years old
NCT01447719,Autopsy Follow-up of Subjects Previously Imaged With Florbetapir F 18 (18F-AV-45) PET in Trial 18F-AV-45-A07,Completed,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 3,110,Interventional,March 2010,July 2011,https://ClinicalTrials.gov/show/NCT01447719,18 Years and older ,18,up to 18 years old
NCT01454115,"Study to Evaluate the Safety, Pharmacokinetics and Tolerability of BMS-708163",Completed,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,116,Interventional,June 2007,March 2009,https://ClinicalTrials.gov/show/NCT01454115,18 Years and older ,18,up to 18 years old
NCT01268020,Evaluation of [18F] FMH3 and PET as a Marker of Histamine-3 Receptor Activity in Subjects With AD Compared w/ HC,Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Early Phase 1,5,Interventional,December 2010,October 2012,https://ClinicalTrials.gov/show/NCT01268020,18 Years and older ,18,up to 18 years old
NCT01565369,Evaluation of Physician Training Methods to Read Florbetapir-PET Scans,Completed,Alzheimer's Disease,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,35,Interventional,January 2011,January 2011,https://ClinicalTrials.gov/show/NCT01565369,18 Years and older ,18,up to 18 years old
NCT00366483,Study Evaluating the Safety of Lecozotan SR in Healthy Young and Elderly Subjects,Completed,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 1,40,Interventional,May 2006,,https://ClinicalTrials.gov/show/NCT00366483,18 Years and older ,18,up to 18 years old
NCT04111211,Long-term Follow-up of Cognitive and Functional Evolutions of Persons With Isolated Cognitive Complaints or Mild Cognitive Deficits,Not yet recruiting,Alzheimer Disease,All,"18 Years and older   (Adult, Older Adult)",Phase 4,2000,Observational,October 2019,October 2024,https://ClinicalTrials.gov/show/NCT04111211,18 Years and older ,18,up to 18 years old
